instrument_id;isin;ticker;name;universe;asset_class;economic_family;region;sector_or_theme;benchmark;provider;is_pea;pea_status;pea_status_confidence;is_synthetic;is_inverse_or_leveraged;official_adapter;official_url
ISIN:IE00B4ND3602;IE00B4ND3602;SGLN.L;iShares Physical Gold ETC;EXTERNAL;GOLD_ETC;GOLD_PHYSICAL;EU;GOLD;LBMA Gold Price;iShares;false;;;false;false;BLACKROCK_HTML;https://www.ishares.com/uk/professionals/en/products/258441/ishares-physical-gold-etc
ISIN:JE00B1VS3770;JE00B1VS3770;PHAU.L;WisdomTree Physical Gold;EXTERNAL;GOLD_ETC;GOLD_PHYSICAL;EU;GOLD;London Gold Spot Price;WisdomTree;false;;;false;false;;https://www.wisdomtree.eu/
US_TICKER:GLD;;GLD;SPDR Gold Shares;EXTERNAL;GOLD_ETF;GOLD_PHYSICAL;US;GOLD;LBMA Gold Price;State Street;false;;;false;false;;https://www.ssga.com/
US_TICKER:IAU;;IAU;iShares Gold Trust;EXTERNAL;GOLD_ETF;GOLD_PHYSICAL;US;GOLD;LBMA Gold Price;iShares;false;;;false;false;;https://www.ishares.com/
US_TICKER:GLDM;;GLDM;SPDR Gold MiniShares Trust;EXTERNAL;GOLD_ETF;GOLD_PHYSICAL;US;GOLD;LBMA Gold Price;State Street;false;;;false;false;;https://www.ssga.com/
US_TICKER:GDX;;GDX;VanEck Gold Miners ETF;EXTERNAL;GOLD_MINERS_ETF;GOLD_MINERS;US;GOLD_MINERS;NYSE Arca Gold Miners Index;VanEck;false;;;false;false;;https://www.vaneck.com/
ISIN:XS2940466316;XS2940466316;IB1T.PA;iShares Bitcoin ETP;EXTERNAL;CRYPTO_ETP;BITCOIN;EU;CRYPTO_BITCOIN;CME CF Bitcoin Reference Rate;iShares;false;;;false;false;BLACKROCK_HTML;https://www.ishares.com/uk/professionals/en/products/337088/ishares-bitcoin-etp
ISIN:GB00BJYDH287;GB00BJYDH287;BTCW.PA;WisdomTree Physical Bitcoin;EXTERNAL;CRYPTO_ETP;BITCOIN;EU;CRYPTO_BITCOIN;CoinDesk Bitcoin Benchmark;WisdomTree;false;;;false;false;;https://www.wisdomtree.eu/
ISIN:GB00BJYDH394;GB00BJYDH394;WETH.PA;WisdomTree Physical Ethereum;EXTERNAL;CRYPTO_ETP;ETHEREUM;EU;CRYPTO_ETHEREUM;CoinDesk Ethereum Benchmark;WisdomTree;false;;;false;false;;https://www.wisdomtree.eu/
ISIN:GB00BNGJ9G01;GB00BNGJ9G01;DSOL.PA;WisdomTree Physical Solana;EXTERNAL;CRYPTO_ETP;SOLANA;EU;CRYPTO_ALT;CoinDesk Solana Benchmark;WisdomTree;false;;;false;false;;https://www.wisdomtree.eu/
