theme_id;growth;inflation;real_rates;yield_curve_slope;credit_conditions;liquidity;oil_price;industrial_activity;euro_strength;status
SEMIS;0.6;-0.2;-0.7;0.0;0.3;0.8;-0.2;0.6;-0.1;RESEARCH_PRIOR
SOFTWARE;0.4;-0.2;-0.9;-0.1;0.2;0.9;-0.1;0.2;-0.1;RESEARCH_PRIOR
DATA_CENTERS;0.5;-0.1;-0.5;0.0;0.3;0.6;-0.2;0.4;0.0;RESEARCH_PRIOR
GRID;0.3;0.1;-0.3;0.0;0.2;0.3;0.0;0.5;0.0;RESEARCH_PRIOR
DEFENSE;0.1;0.1;0.0;0.0;0.0;0.1;0.1;0.2;0.0;RESEARCH_PRIOR
OIL_GAS;0.5;0.5;0.1;0.2;0.1;0.0;1.0;0.6;0.0;RESEARCH_PRIOR
NUCLEAR;0.2;0.1;-0.2;0.0;0.1;0.2;0.1;0.3;0.0;RESEARCH_PRIOR
RENEWABLES;0.4;-0.1;-0.8;-0.1;0.3;0.7;0.2;0.3;0.0;RESEARCH_PRIOR
BANKS;0.5;0.2;0.3;0.9;-0.5;0.1;0.0;0.5;0.0;RESEARCH_PRIOR
INSURANCE;0.3;0.2;0.3;0.4;-0.2;0.0;0.0;0.3;0.0;RESEARCH_PRIOR
PHARMA;0.0;0.0;-0.1;0.0;0.1;0.2;0.0;-0.1;0.0;RESEARCH_PRIOR
BIOTECH;0.2;-0.1;-0.8;-0.1;0.3;0.9;0.0;0.0;0.0;RESEARCH_PRIOR
LUXURY;0.7;-0.3;-0.2;0.0;0.4;0.4;0.0;0.5;-0.4;RESEARCH_PRIOR
AUTOMOTIVE;0.8;-0.4;-0.5;0.1;0.5;0.3;-0.3;0.8;-0.2;RESEARCH_PRIOR
COPPER;0.8;0.3;0.0;0.0;0.2;0.2;0.1;0.9;0.0;RESEARCH_PRIOR
GOLD;-0.2;0.4;-1.0;-0.2;-0.4;0.5;0.1;-0.2;-0.5;RESEARCH_PRIOR
REAL_ESTATE;0.3;-0.2;-1.0;-0.3;0.5;0.7;0.0;0.2;0.0;RESEARCH_PRIOR
CONSTRUCTION;0.7;0.1;-0.5;0.1;0.4;0.3;-0.2;0.9;0.0;RESEARCH_PRIOR
CYBER;0.3;0.0;-0.5;0.0;0.2;0.6;0.0;0.2;0.0;RESEARCH_PRIOR
AUTOMATION;0.8;0.0;-0.3;0.0;0.4;0.4;-0.1;0.9;0.0;RESEARCH_PRIOR
