isin;yahoo_ticker;finnhub_symbol;status;updated_at
BE0003599108;IMMO.BR;IMMO.BR;RESOLVED;2026-08-07T07:27:57.662311+00:00
BE0003602134;MOUR.BR;MOUR.BR;RESOLVED;2026-08-07T07:26:20.747627+00:00
BE0003604155;LOTB.BR;LOTB.BR;RESOLVED;2026-08-07T07:25:11.960068+00:00
BE0003656676;RECT.BR;RECT.BR;RESOLVED;2026-08-07T07:28:52.638057+00:00
BE0003699130;GIMB.BR;GIMB.BR;RESOLVED;2026-08-07T07:27:44.758758+00:00
BE0003717312;SOF.BR;SOF.BR;RESOLVED;2026-08-07T07:25:22.677534+00:00
BE0003741551;ROU.BR;ROU.BR;RESOLVED;2026-08-07T07:28:56.973116+00:00
BE0003748622;IEP.BR;IEP.BR;RESOLVED;2026-08-07T07:27:55.511626+00:00
BE0003818359;LKFT.AS;LKFT.AS;RESOLVED;2026-08-07T07:25:05.524624+00:00
BE0003858751;JEN.BR;JEN.BR;RESOLVED;2026-08-07T07:26:07.841661+00:00
BE0003898187;SIP.BR;SIP.BR;RESOLVED;2026-08-07T07:28:41.900766+00:00
BE0974265945;FLUX.BR;FLUX.BR;RESOLVED;2026-08-07T07:27:36.104638+00:00
BE0974340722;SEQUA.BR;SEQUA.BR;RESOLVED;2026-08-07T07:28:37.611386+00:00
BE0974363955;HYL.BR;HYL.BR;RESOLVED;2026-08-07T07:27:46.910143+00:00
BE0974374069;INCLU.BR;INCLU.BR;RESOLVED;2026-08-07T07:28:01.999243+00:00
BE0974501331;MTLS.BR;MTLS.BR;RESOLVED;2026-08-07T07:26:44.441026+00:00
BE0974502347;FLOB.BR;FLOB.BR;RESOLVED;2026-08-07T07:27:33.961554+00:00
FR0000030074;MALT.PA;MALT.PA;RESOLVED;2026-08-07T07:26:55.197422+00:00
FR0000033904;JCQ.PA;JCQ.PA;RESOLVED;2026-08-07T07:26:05.700407+00:00
FR0000034894;GAM.PA;GAM.PA;RESOLVED;2026-08-07T07:27:08.179718+00:00
FR0000039109;SCHP.PA;SCHP.PA;RESOLVED;2026-08-07T07:28:29.999553+00:00
FR0000051070;MAU.PA;MAU.PA;RESOLVED;2026-08-07T07:26:46.581078+00:00
FR0000051393;IDIP.PA;IDIP.PA;RESOLVED;2026-08-07T07:27:53.360547+00:00
FR0000053035;GEA.PA;GEA.PA;RESOLVED;2026-08-07T07:27:10.326157+00:00
