isin;ticker;first_observed_date;source_run;initial_status
IT0005500688;FAE.MI;2023-01-24;32379163874;START_AFTER_ANCHOR_UNRESOLVED
IT0005528937;ART.MI;2023-01-31;32379163874;START_AFTER_ANCHOR_UNRESOLVED
GRS528003007;MLAZR.PA;2023-02-02;32379163874;START_AFTER_ANCHOR_UNRESOLVED
IT0005531238;TMP.MI;2023-02-02;32379163874;START_AFTER_ANCHOR_UNRESOLVED
IT0005527616;EGLA.MI;2023-02-10;32379163874;START_AFTER_ANCHOR_UNRESOLVED
IT0005531261;GM.MI;2023-02-10;32379163874;START_AFTER_ANCHOR_UNRESOLVED
FR001400F2Z1;ALLPL.PA;2023-02-13;32379163874;START_AFTER_ANCHOR_UNRESOLVED
IT0005532525;VLT.MI;2023-03-01;32379163874;START_AFTER_ANCHOR_UNRESOLVED
ES0105639001;ALUAV.PA;2023-03-03;32379163874;START_AFTER_ANCHOR_UNRESOLVED
IT0005528069;RWY.MI;2023-03-08;32379163874;START_AFTER_ANCHOR_UNRESOLVED
IT0005532483;CUBE.MI;2023-03-27;32379163874;START_AFTER_ANCHOR_UNRESOLVED
FR001400GO75;ALFLO.PA;2023-04-12;32379163874;START_AFTER_ANCHOR_UNRESOLVED
FR0013326246;URW.PA;2023-04-14;32379163874;START_AFTER_ANCHOR_UNRESOLVED
ES0105697009;MLMUT.PA;2023-04-20;32379163874;START_AFTER_ANCHOR_UNRESOLVED
IT0005543332;ECMB.MI;2023-04-28;32379163874;START_AFTER_ANCHOR_UNRESOLVED
IT0005541336;LTMC.MI;2023-05-03;32379163874;START_AFTER_ANCHOR_UNRESOLVED
IT0005543613;RES.MI;2023-05-04;32379163874;START_AFTER_ANCHOR_UNRESOLVED
ES0105704003;ALVIR.PA;2023-05-05;32379163874;START_AFTER_ANCHOR_UNRESOLVED
NL0015001BF4;REFL.OL;2023-05-12;32379163874;START_AFTER_ANCHOR_UNRESOLVED
IT0005543480;DEX.MI;2023-05-18;32379163874;START_AFTER_ANCHOR_UNRESOLVED
IT0005546319;PSQ.MI;2023-05-26;32379163874;START_AFTER_ANCHOR_UNRESOLVED
FR001400H3A0;ALMCE.PA;2023-05-30;32379163874;START_AFTER_ANCHOR_UNRESOLVED
NO0012851874;DOFG.OL;2023-06-22;32379163874;START_AFTER_ANCHOR_UNRESOLVED
IT0005383291;YACHT.MI;2023-06-27;32379163874;START_AFTER_ANCHOR_UNRESOLVED
IT0005549354;RFLTC.MI;2023-06-30;32379163874;START_AFTER_ANCHOR_UNRESOLVED
IT0005548521;AAT.MI;2023-07-03;32379163874;START_AFTER_ANCHOR_UNRESOLVED
IT0005408593;CREG.MI;2023-07-06;32379163874;START_AFTER_ANCHOR_UNRESOLVED
IT0005549255;IMD.MI;2023-07-07;32379163874;START_AFTER_ANCHOR_UNRESOLVED
FR001400IUV6;ALWTR.PA;2023-07-10;32379163874;START_AFTER_ANCHOR_UNRESOLVED
IT0005549768;GRN.MI;2023-07-11;32379163874;START_AFTER_ANCHOR_UNRESOLVED
IT0005552678;MIL.MI;2023-07-18;32379163874;START_AFTER_ANCHOR_UNRESOLVED
IT0005553752;BELL.MI;2023-07-20;32379163874;START_AFTER_ANCHOR_UNRESOLVED
IT0005547752;MOC.MI;2023-07-28;32379163874;START_AFTER_ANCHOR_UNRESOLVED
FR001400K4B1;ALHEX.PA;2023-07-31;32379163874;START_AFTER_ANCHOR_UNRESOLVED
IT0005555333;CROW.MI;2023-08-02;32379163874;START_AFTER_ANCHOR_UNRESOLVED
IT0005550713;SOL.MI;2023-08-03;32379163874;START_AFTER_ANCHOR_UNRESOLVED
IT0005554784;GEB.MI;2023-08-08;32379163874;START_AFTER_ANCHOR_UNRESOLVED
IT0005551115;HEALTH.MI;2023-08-08;32379163874;START_AFTER_ANCHOR_UNRESOLVED
IT0005552546;LODA.MI;2023-08-09;32379163874;START_AFTER_ANCHOR_UNRESOLVED
IT0005554636;GATE.MI;2023-08-10;32379163874;START_AFTER_ANCHOR_UNRESOLVED
IT0005554446;GAMB.MI;2023-08-11;32379163874;START_AFTER_ANCHOR_UNRESOLVED
IT0005553208;EYE.MI;2023-08-11;32379163874;START_AFTER_ANCHOR_UNRESOLVED
IT0005553729;FOS.MI;2023-08-17;32379163874;START_AFTER_ANCHOR_UNRESOLVED
IT0005553588;ESPE.MI;2023-08-21;32379163874;START_AFTER_ANCHOR_UNRESOLVED
NO0013005195;HOV.OL;2023-08-21;32379163874;START_AFTER_ANCHOR_UNRESOLVED
IT0005554438;FOPE.MI;2023-08-24;32379163874;START_AFTER_ANCHOR_UNRESOLVED
IT0005554925;MON.MI;2023-08-30;32379163874;START_AFTER_ANCHOR_UNRESOLVED
NO0012928805;NOD.OL;2023-09-05;32379163874;START_AFTER_ANCHOR_UNRESOLVED
IT0005564248;FRES.MI;2023-09-07;32379163874;START_AFTER_ANCHOR_UNRESOLVED
FR001400JY13;ALBUD.PA;2023-09-14;32379163874;START_AFTER_ANCHOR_UNRESOLVED
IT0005564271;SPH.MI;2023-09-15;32379163874;START_AFTER_ANCHOR_UNRESOLVED
NO0012942525;PSE.OL;2023-09-15;32379163874;START_AFTER_ANCHOR_UNRESOLVED
IT0005565196;FCU.MI;2023-09-18;32379163874;START_AFTER_ANCHOR_UNRESOLVED
NO0012960375;PNOR.OL;2023-09-21;32379163874;START_AFTER_ANCHOR_UNRESOLVED
NO0012947255;NORSE.OL;2023-09-29;32379163874;START_AFTER_ANCHOR_UNRESOLVED
IT0005564959;ATON.MI;2023-10-09;32379163874;START_AFTER_ANCHOR_UNRESOLVED
NO0012983099;OKEA.OL;2023-10-10;32379163874;START_AFTER_ANCHOR_UNRESOLVED
IT0005566208;ATONR.MI;2023-10-13;32379163874;START_AFTER_ANCHOR_UNRESOLVED
IT0005562514;IMD2.MI;2023-10-18;32379163874;START_AFTER_ANCHOR_UNRESOLVED
