isin;ticker;status;reason;official_listing_date;first_observed_date;source_name;source_url;listing_dates;source_run;source_artifact_sha256
ES0105639001;ALUAV.PA;QUARANTINE;OFFICIAL_LISTING_DATE_AFTER_FIRST_OBSERVATION;2026-07-10;2023-03-03;EURONEXT_OFFICIAL_IPO_SHOWCASE;https://live.euronext.com/en/ipo-showcase/all;;32485729404;86a3185b10877388f3d03fb0b169271d6124db8e725d743deb56b63e1a98a2de
ES0105704003;ALVIR.PA;QUARANTINE;MULTIPLE_OFFICIAL_LISTING_DATES;;;EURONEXT_OFFICIAL_IPO_SHOWCASE;https://live.euronext.com/en/ipo-showcase/all?page=5;2023-04-20,2025-06-19;32485729404;86a3185b10877388f3d03fb0b169271d6124db8e725d743deb56b63e1a98a2de
NL0015001HZ9;ALPET.PA;QUARANTINE;MULTIPLE_OFFICIAL_LISTING_DATES;;;EURONEXT_OFFICIAL_IPO_SHOWCASE;https://live.euronext.com/en/ipo-showcase/all?page=4;2023-07-11,2025-07-28;32485729404;86a3185b10877388f3d03fb0b169271d6124db8e725d743deb56b63e1a98a2de
FR001400NQB6;ALCPA.PA;QUARANTINE;MULTIPLE_OFFICIAL_LISTING_DATES;;;EURONEXT_OFFICIAL_IPO_SHOWCASE;https://live.euronext.com/en/ipo-showcase/all?page=1;2024-03-05,2026-03-30;32485729404;86a3185b10877388f3d03fb0b169271d6124db8e725d743deb56b63e1a98a2de
SE0028799411;PUBLI.OL;QUARANTINE;OFFICIAL_LISTING_DATE_AFTER_FIRST_OBSERVATION;2026-05-21;2024-04-29;EURONEXT_OFFICIAL_IPO_SHOWCASE;https://live.euronext.com/en/ipo-showcase/all?page=1;;32485729404;86a3185b10877388f3d03fb0b169271d6124db8e725d743deb56b63e1a98a2de
NO0010713571;STECH.OL;QUARANTINE;MULTIPLE_OFFICIAL_LISTING_DATES;;;EURONEXT_OFFICIAL_IPO_SHOWCASE;https://live.euronext.com/en/ipo-showcase/all?page=1;2024-09-11,2026-04-30;32485729404;86a3185b10877388f3d03fb0b169271d6124db8e725d743deb56b63e1a98a2de
NO0013325506;MORLD.OL;QUARANTINE;MULTIPLE_OFFICIAL_LISTING_DATES;;;EURONEXT_OFFICIAL_IPO_SHOWCASE;https://live.euronext.com/en/ipo-showcase/all?page=5;2024-12-19,2025-06-20;32485729404;86a3185b10877388f3d03fb0b169271d6124db8e725d743deb56b63e1a98a2de
NO0013597419;COSH.OL;QUARANTINE;MULTIPLE_OFFICIAL_LISTING_DATES;;;EURONEXT_OFFICIAL_IPO_SHOWCASE;https://live.euronext.com/en/ipo-showcase/all?page=1;2025-03-06,2026-05-26;32485729404;86a3185b10877388f3d03fb0b169271d6124db8e725d743deb56b63e1a98a2de
FR001400WXE7;ALPG.PA;QUARANTINE;MULTIPLE_OFFICIAL_LISTING_DATES;;;EURONEXT_OFFICIAL_IPO_SHOWCASE;https://live.euronext.com/en/ipo-showcase/all?page=1;2025-02-12,2026-05-11;32485729404;86a3185b10877388f3d03fb0b169271d6124db8e725d743deb56b63e1a98a2de
CZ0009008942;COLT.PR;QUARANTINE;OFFICIAL_LISTING_DATE_AFTER_FIRST_OBSERVATION;2026-04-15;2026-04-07;EURONEXT_OFFICIAL_IPO_SHOWCASE;https://live.euronext.com/en/ipo-showcase/all?page=1;;32485729404;86a3185b10877388f3d03fb0b169271d6124db8e725d743deb56b63e1a98a2de
