mapped_family;source_rows;median_aum_m_eur;median_ter_pct;median_spread_pct;median_adv_m_eur_day;median_srri;median_td_1y_pct;median_td_3y_pct;median_tracking_error_pct;median_max_dd_5y_pct;median_sharpe_5y;median_score_v9;median_score_v10;median_liquidity_score;median_esg_score;median_replication_score;median_availability_3;best_source_name;best_source_isin;best_source_ticker;best_score_v10;source_note
Amundi CAC 40 PEA UCITS ETF;15;27.1;0.3;0.5;0.54;4.0;0.24;0.24;0.29;-32.7;0.37;73.0;0.0;69.0;64.0;84.0;3.0;Amundi CAC 40 PEA UCITS;FR1634295292;AHM4;;266 ETF PEA V12 9 piliers - snapshot user-provided - daily market fields maintained externally at 18h
Amundi DAX PEA UCITS ETF;10;213.15;0.35;0.535;4.26;5.0;0.22;0.24;0.325;-32.15;0.375;52.0;0.0;72.5;66.5;85.5;3.0;Lyxor/Amundi DAX PEA UCITS;FR8675896781;KUJ2;;266 ETF PEA V12 9 piliers - snapshot user-provided - daily market fields maintained externally at 18h
Amundi Euro Stoxx 50 PEA UCITS ETF;14;99.15;0.405;0.39;1.985;4.0;0.205;0.265;0.435;-30.25;0.425;70.0;0.0;78.0;55.5;78.0;3.0;First Trust Euro Stoxx 50 PEA UCITS;FR2384670819;MCA6;;266 ETF PEA V12 9 piliers - snapshot user-provided - daily market fields maintained externally at 18h
Amundi MSCI Emerging Markets PEA UCITS ETF;9;105.9;0.21;0.28;2.12;4.0;0.08;0.15;0.23;-27.7;0.5;58.0;0.0;67.0;69.0;81.0;3.0;UBS MSCI EM PEA UCITS;FR7468332405;VJK3;;266 ETF PEA V12 9 piliers - snapshot user-provided - daily market fields maintained externally at 18h
Amundi MSCI Europe Small Cap PEA UCITS ETF;15;15.8;0.33;0.54;0.32;5.0;0.23;0.19;0.45;-27.9;0.5;67.0;0.0;63.0;64.0;75.0;2.0;Invesco MSCI Europe Small PEA UCITS;FR9917726066;IOH7;;266 ETF PEA V12 9 piliers - snapshot user-provided - daily market fields maintained externally at 18h
Amundi MSCI India PEA UCITS ETF;17;23.4;0.36;0.44;0.47;5.0;0.2;0.2;0.25;-33.4;0.4;63.0;0.0;70.0;48.0;74.0;3.0;Amundi MSCI India PEA UCITS;FR9582277738;OQS6;;266 ETF PEA V12 9 piliers - snapshot user-provided - daily market fields maintained externally at 18h
Amundi MSCI Japan Topix PEA UCITS ETF;13;32.2;0.38;0.23;0.64;4.0;0.21;0.21;0.18;-32.4;0.42;74.0;0.0;58.0;61.0;84.0;3.0;HSBC MSCI Japan Topix PEA UCITS;IE9255721240;GNA9;;266 ETF PEA V12 9 piliers - snapshot user-provided - daily market fields maintained externally at 18h
Amundi MSCI World Momentum PEA UCITS ETF;28;40.5;0.35;0.49;0.81;5.0;0.22;0.2;0.3;-30.25;0.42;62.0;0.0;73.5;53.5;81.0;3.0;Xtrackers MSCI World PEA UCITS;FR2470956925;OSC9;;266 ETF PEA V12 9 piliers - snapshot user-provided - daily market fields maintained externally at 18h
Amundi MSCI World PEA UCITS ETF;30;75.2;0.37;0.455;1.505;5.0;0.225;0.24;0.37;-30.2;0.43;75.5;0.0;66.0;68.5;73.0;3.0;Amundi MSCI World ESG PEA UCITS;FR7685370089;UOS7;;266 ETF PEA V12 9 piliers - snapshot user-provided - daily market fields maintained externally at 18h
Amundi MSCI World Small Cap PEA UCITS ETF;21;179.4;0.31;0.46;3.59;6.0;0.19;0.23;0.28;-33.9;0.38;69.0;0.0;68.0;45.0;75.0;3.0;Lyxor/Amundi MSCI World Small PEA UCITS;FR3312319096;CSO9;;266 ETF PEA V12 9 piliers - snapshot user-provided - daily market fields maintained externally at 18h
Amundi Nasdaq 100 PEA UCITS ETF;22;51.15;0.435;0.585;1.025;5.0;0.255;0.255;0.395;-34.3;0.405;61.5;0.0;71.0;60.5;70.0;3.0;Ossiam Nasdaq 100 PEA UCITS;IE5359953250;KCR2;;266 ETF PEA V12 9 piliers - snapshot user-provided - daily market fields maintained externally at 18h
Amundi S&P 500 PEA UCITS ETF;11;83.7;0.38;0.43;1.67;4.0;0.23;0.3;0.39;-37.7;0.33;81.0;0.0;69.0;63.0;85.0;3.0;Amundi S&P 500 PEA UCITS;FR4716951156;HHV2;;266 ETF PEA V12 9 piliers - snapshot user-provided - daily market fields maintained externally at 18h
Amundi Stoxx 600 PEA UCITS ETF;46;75.35;0.375;0.435;1.51;4.5;0.225;0.2;0.305;-31.1;0.395;58.0;0.0;65.0;58.5;78.0;3.0;Other FTSE EPRA Europe PEA UCITS;IE7548333555;VOZ8;;266 ETF PEA V12 9 piliers - snapshot user-provided - daily market fields maintained externally at 18h
HSBC MSCI Europe Quality PEA UCITS ETF;15;35.3;0.38;0.42;0.71;5.0;0.23;0.27;0.35;-30.5;0.43;63.0;0.0;84.0;61.0;71.0;3.0;Other MSCI Europe Quality PEA UCITS;IE3871421313;YUX4;;266 ETF PEA V12 9 piliers - snapshot user-provided - daily market fields maintained externally at 18h
