bad_isin,quarantine_name,canonical_isin,canonical_name,canonical_ticker,status
"FR4160061315","Amundi Euro Stoxx 50 PEA UCITS","FR0007054358","Amundi Euro Stoxx 50 II UCITS ETF Acc","MSE.PA","RECONCILE_ALIAS_EXISTING"
"FR3829859622","Amundi Nasdaq 100 PEA UCITS","FR0011871110","Amundi PEA Nasdaq-100 UCITS ETF Acc","PUST.PA","RECONCILE_ALIAS_EXISTING"
"FR9774321927","Amundi S&P 500 PEA UCITS","FR0011871128","Amundi PEA S&P 500 UCITS ETF Acc","PSP5.PA","RECONCILE_ALIAS_EXISTING"
"IE6697973694","Amundi S&P 500 PEA UCITS","FR0011871128","Amundi PEA S&P 500 UCITS ETF Acc","PSP5.PA","RECONCILE_ALIAS_EXISTING"
"IE7289493110","Amundi S&P 500 PEA UCITS","FR0011871128","Amundi PEA S&P 500 UCITS ETF Acc","PSP5.PA","RECONCILE_ALIAS_EXISTING"
"FR8325085195","Amundi Euro Stoxx 50 PEA UCITS","FR0007054358","Amundi Euro Stoxx 50 II UCITS ETF Acc","MSE.PA","RECONCILE_ALIAS_EXISTING"
"FR4716951156","Amundi S&P 500 PEA UCITS","FR0011871128","Amundi PEA S&P 500 UCITS ETF Acc","PSP5.PA","RECONCILE_ALIAS_EXISTING"
"IE6858278909","Amundi Nasdaq 100 PEA UCITS","FR0011871110","Amundi PEA Nasdaq-100 UCITS ETF Acc","PUST.PA","RECONCILE_ALIAS_EXISTING"
"FR3930276839","Amundi Nasdaq 100 PEA UCITS","FR0011871110","Amundi PEA Nasdaq-100 UCITS ETF Acc","PUST.PA","RECONCILE_ALIAS_EXISTING"
"FR8438357965","Amundi Nasdaq 100 PEA UCITS","FR0011871110","Amundi PEA Nasdaq-100 UCITS ETF Acc","PUST.PA","RECONCILE_ALIAS_EXISTING"
"FR9638566129","Amundi Nasdaq 100 PEA UCITS","FR0011871110","Amundi PEA Nasdaq-100 UCITS ETF Acc","PUST.PA","RECONCILE_ALIAS_EXISTING"
"FR4872099929","Amundi S&P 500 PEA UCITS","FR0011871128","Amundi PEA S&P 500 UCITS ETF Acc","PSP5.PA","RECONCILE_ALIAS_EXISTING"
"IE8539334723","Amundi Nasdaq 100 PEA UCITS","FR0011871110","Amundi PEA Nasdaq-100 UCITS ETF Acc","PUST.PA","RECONCILE_ALIAS_EXISTING"
"IE9124691503","Amundi Nasdaq 100 PEA UCITS","FR0011871110","Amundi PEA Nasdaq-100 UCITS ETF Acc","PUST.PA","RECONCILE_ALIAS_EXISTING"
"FR9539428446","Amundi Euro Stoxx 50 PEA UCITS","FR0007054358","Amundi Euro Stoxx 50 II UCITS ETF Acc","MSE.PA","RECONCILE_ALIAS_EXISTING"
"FR3227821320","Amundi Nasdaq 100 PEA UCITS","FR0011871110","Amundi PEA Nasdaq-100 UCITS ETF Acc","PUST.PA","RECONCILE_ALIAS_EXISTING"
