ISIN (réel Euronext);Name (réel Euronext);Symbol Euronext;Market
NL0010273215;ASML HOLDING;ASML;Euronext Amsterdam
NO0010096985;EQUINOR;EQNR;Oslo Børs
NO0013536151;KONGSBERG GRUPPEN;KOG;Oslo Børs
NO0005052605;NORSK HYDRO;NHY;Oslo Børs
IT0000072618;INTESA SANPAOLO;ISP;Euronext Milan
IT0005239360;UNICREDIT;UCG;Euronext Milan
FR0000120271;TOTALENERGIES;TTE;Euronext Paris
NL00150001Q9;STELLANTIS;STLAM;Euronext Milan
FR0000121014;LVMH;MC;Euronext Paris
FR0000120321;L'OREAL;OR;Euronext Paris
FR0000120073;AIR LIQUIDE;AI;Euronext Paris
FR0000120628;AXA;CS;Euronext Paris
FR0000120578;SANOFI;SAN;Euronext Paris
FR0000131104;BNP PARIBAS ACT.A;BNP;Euronext Paris
FR0000125486;VINCI;DG;Euronext Paris
NL0000235190;AIRBUS;AIR;Euronext Paris
FR0000121972;SCHNEIDER ELECTRIC;SU;Euronext Paris
FR0000121667;ESSILORLUXOTTICA;EL;Euronext Paris
FR0000125007;SAINT GOBAIN;SGO;Euronext Paris
FR0000133308;ORANGE;ORA;Euronext Paris
FR0000120644;DANONE;BN;Euronext Paris
FR0000052292;HERMES INTL;RMS;Euronext Paris
FR0000121485;KERING;KER;Euronext Paris
FR0000125338;CAPGEMINI;CAP;Euronext Paris
FR0000120693;PERNOD RICARD;RI;Euronext Paris
FR0000120503;BOUYGUES;EN;Euronext Paris
FR0000124141;VEOLIA ENVIRON.;VIE;Euronext Paris
FR0000045072;CREDIT AGRICOLE;ACA;Euronext Paris
FR0000121964;KLEPIERRE;LI;Euronext Paris
FR0000120172;CARREFOUR;CA;Euronext Paris
FR0000120685;PUBLICIS GROUPE SA;PUB;Euronext Paris
FR0000121220;SODEXO;SW;Euronext Paris
FR0000120404;ACCOR;AC;Euronext Paris
FR0010208488;ENGIE;ENGI;Euronext Paris
FR0000130809;SOCIETE GENERALE;GLE;Euronext Paris
FR0000130577;PUBLICIS GROUPE;PUB;Euronext Paris
FR0000131708;TECHNIP ENERGIES;TE;Euronext Paris
FR0014003TT8;DASSAULT SYSTEMES;DSY;Euronext Paris
FR0000130650;DASSAULT SYSTEMES;DSY;Euronext Paris
FR0000121014;LVMH;MC;Euronext Paris
FR0000120271;TOTALENERGIES;TTE;Euronext Paris
FR0000120321;L'OREAL;OR;Euronext Paris
FR0000120073;AIR LIQUIDE;AI;Euronext Paris
FR0000120628;AXA;CS;Euronext Paris
FR0000120578;SANOFI;SAN;Euronext Paris
FR0000131104;BNP PARIBAS ACT.A;BNP;Euronext Paris
FR0000125486;VINCI;DG;Euronext Paris
NL0000235190;AIRBUS;AIR;Euronext Paris
FR0000121972;SCHNEIDER ELECTRIC;SU;Euronext Paris
FR0000121667;ESSILORLUXOTTICA;EL;Euronext Paris
FR0000125007;SAINT GOBAIN;SGO;Euronext Paris
FR0000133308;ORANGE;ORA;Euronext Paris
FR0000120644;DANONE;BN;Euronext Paris
FR0000052292;HERMES INTL;RMS;Euronext Paris
FR0000121485;KERING;KER;Euronext Paris
FR0000125338;CAPGEMINI;CAP;Euronext Paris
FR0000120693;PERNOD RICARD;RI;Euronext Paris
FR0000120503;BOUYGUES;EN;Euronext Paris
FR0000124141;VEOLIA ENVIRON.;VIE;Euronext Paris
FR0000045072;CREDIT AGRICOLE;ACA;Euronext Paris
FR0000121964;KLEPIERRE;LI;Euronext Paris
FR0000120172;CARREFOUR;CA;Euronext Paris
FR0000120685;PUBLICIS GROUPE SA;PUB;Euronext Paris
FR0000121220;SODEXO;SW;Euronext Paris
FR0000120404;ACCOR;AC;Euronext Paris
FR0010208488;ENGIE;ENGI;Euronext Paris
FR0000130809;SOCIETE GENERALE;GLE;Euronext Paris
FR0000130577;PUBLICIS GROUPE;PUB;Euronext Paris
FR0000131708;TECHNIP ENERGIES;TE;Euronext Paris
FR0014003TT8;DASSAULT SYSTEMES;DSY;Euronext Paris
FR0000130650;DASSAULT SYSTEMES;DSY;Euronext Paris
