isin;name;asset_class;horizon
NL0000852523;TKH GROUP N.V.;ACTION;CT
FR0010291245;VERIMATRIX;ACTION;CT
IT0005654766;ECOSUNTEK;ACTION;CT
NO0010816093;ELKEM;ACTION;CT
NO0010714785;NYKODE THERAPEUTICS ASA;ACTION;CT
NO0010571698;WILH. WILHELMSEN HOLDING SER. A;ACTION;CT
NO0010713936;ZAPTEC ASA;ACTION;CT
IT0005712671;TELECOM ITALIA SPA;ACTION;CT
DE000BASF111;BASF SE;ACTION;CT
ES0173516115;REPSOL SA;ACTION;CT
SE0000667891;SANDVIK AB;ACTION;CT
SE0000106270;HENNES & MAURITZ AB-B SHS;ACTION;CT
DE000EVNK013;EVONIK INDUSTRIES AG;ACTION;CT
LU1615090864;BNP Paribas Easy Dividend Eurp ETF Cap;ETF;MT
LU1377382285;BNP Paribas Easy Value Europe ETF Cap;ETF;MT
