isin;name;yahoo_ticker;euronext_symbol;euronext_mic;country;pea_type;pea_confidence;size_proxy;liquidity_proxy;map_status;etage0_status;score_brut;couverture;confiance;score_effectif;comite_status;execution;decision;ta_status;ta_score_6;n_sessions;last_close;mm20;mm50;mm200;rsi14;macd_hist;atr14;bb_upper;bb_lower;rvol20;perf_1m_pct;perf_3m_pct;perf_1y_pct;above_mm20;above_mm50;above_mm200;per_ttm;per_forward;per_status;per_vs_universe_pct;per_vs_sector_pct;pb;roe;roe_api;ev_ebit;fcf_yield;dette_ebitda;marge_ebit;marge_nette;croiss_ca_3y;croiss_eps_3y;fundamentals;fundamentals_status;fundamentals_source;dividend_yield_pct;payout_ratio;dividend_status;target_price;upside_pct;eps_revision_3m;news_status;sic_score;corporate_status;volatility_20d;volatility_60d;max_drawdown_1y;beta;risk_status;scenario_bear_pct;scenario_base_pct;scenario_bull_pct;asymmetry;invalidation_level;risk_opp_status;cost_gate_status;broker_pea_confirmed;data_trust_pct;coverage_pct;evidence_level;qa_status;shadow_only;ref_version;schema_version;ta_as_of;schema_as_of;asset_class;region;markets;in_cac40;in_euronext100;in_aex;in_bel20;in_amx;in_ftse_mib;in_psi;in_euronext_growth;sources;as_of_date;distribution_policy;dividend_data_status;morningstar_rating;morningstar_category;perf_3y_pct;perf_5y_pct;rank_cat_1y;rank_cat_3y;rank_cat_5y;perf_data_status;perf_as_of;eligible_pea_note;data_enrichment_note;enrichment_as_of;euronext_name;euronext_link;ref_as_of;ohlcv_status;ohlcv_n_sessions;ohlcv_last;ohlcv_perf_1y;sector_bucket;per_sector_median;per_sector_n;per_universe_median;ta_source;roa;fundamentals_as_of;per_vs_sector;valuation_status;dividend_cagr_3y;consensus_dispersion;news_polarity;news_materiality;corporate_event;insider_signal;scenario_proba_bch;ter;spread_est_bps;decision_horizon;macro_vix;macro_curve_10y2y;macro_as_of;alt_data_note;consensus_rating;consensus_score;n_analysts;upgrades_30d;downgrades_30d;consensus_period;consensus_status;consensus_source;consensus;strong_buy;buy_n;hold_n;sell_n;strong_sell;consensus_score_prev;consensus_period_prev;consensus_delta;consensus_delta_label;delta_buy;delta_sell;n_analysts_prev;consensus_delta_status;consensus_delta_as_of;yf_status;per_ttm_yf;per_forward_yf;sector_yf;industry_yf;recommendation_key_yf;recommendation_mean_yf;n_analysts_yf;target_mean_yf;target_high_yf;target_low_yf;current_price_yf;average_rating_yf;consensus_score_yf;n_analysts_counts_yf;strong_buy_yf;buy_yf;hold_yf;sell_yf;strong_sell_yf;consensus_score_prev_yf;consensus_delta_yf;consensus_delta_label_yf;delta_buy_yf;delta_sell_yf;consensus_rating_yf;upside_pct_yf;yf_consensus_status;sector_yahoo;industry_yahoo;yf_consensus_as_of;per_fix_as_of;v182_ticker_market_symbol;v182_ticker_canonical_mic;v182_ticker_venue;v182_ticker_status;v182_ticker_validation_confidence_pct;v182_ticker_validation_source;v182_ticker_validation_url;v182_ticker_validation_class;v182_ticker_validation_as_of
LU1598757687;ARCELORMITTAL SA;MT.AS;MT;XAMS;Luxembourg;PEA_CANDIDATE;MEDIUM_INDEX_CONSTITUENT;LARGE_CAP_INDEX;HIGH_INDEX;OK;PASSED;79.5;0.72;0.75;65.9;RESEARCH_ONLY;SHADOW_BLOCKED;NONE;FULL;4.0;510.0;64.14;58.49;57.6536;47.8813;72.32;0.5126;2.2486;62.782;54.198;0.14;12.61;29.37;122.55;True;True;True;31.1456;9.8976;OK;69.7;24.0;;;;;;;;;;;PARTIAL_YF_PE;PARTIAL;yfinance;;;NON_OBSERVE;65.74259;2.5;;NON_OBSERVE;;NON_OBSERVE;14.87;;;;PARTIAL_TA;;;;;;NON_OBSERVE;INCOMPLETE;UNKNOWN;75.0;72.0;B;TA_OK_FUND_PARTIAL_OR_MISSING;True;V13.1-PEA-ACTIONS-EURONEXT;V13.1-COMITE-COLS;2026-08-05T08:50:44;2026-08-05T08:52:35;ACTION;Europe;AEX|CAC40|EURONEXT100;True;True;True;False;False;False;False;False;Euronext_indices_ETF_Nov2025;2026-07-29;UNKNOWN;MISSING_NO_BULK_SOURCE;;;;;;;;MISSING_NO_SOURCE;;Major Euronext index constituent - typically PEA-eligible if EU criteria met (confirm with broker);"Structural enrichment from ISIN+index lists only; no live market/fundamental data";2026-07-31;ARCELORMITTAL SA;/en/product/equities/LU1598757687-XAMS;2026-08-05T08:31:03;FULL:MT.AS;510.0;64.14;140.02;Luxembourg|LARGE_CAP_INDEX|HIGH_INDEX;25.1105;1;18.3493;Yahoo_chart;;;;NON_OBSERVE;;;;;;;;;;;15.86;0.43;2026-08-05;"Finnhub recommendations (BUY/HOLD/SELL counts) + FRED VIX/curve; price-target often empty on free EU";BUY;84.0;25.0;17.0;0.0;2026-08-01;OK;Finnhub_recommendation;PARTIAL_FINNHUB_RECO;7.0;10.0;8.0;0.0;0.0;82.0;2026-07-01;2.0;STABLE;0.0;-1.0;25.0;OK;2026-08-05T09:04:00;OK;31.145634;9.897607;Basic Materials;Steel;buy;1.78571;14.0;65.74259;75.7555;47.88366;64.16;1.8 - Buy;85.7;14.0;3.0;7.0;4.0;0.0;0.0;85.7;0.0;STABLE;0.0;0.0;BUY;2.5;OK;Basic Materials;Steel;2026-08-05T09:08:51;2026-08-05T09:14:57;MT;XAMS;Euronext Amsterdam;EXISTING_PAIR_VALIDATED_STRUCTURALLY;95;Existing referential + Euronext segment normalization;/en/product/equities/LU1598757687-XAMS;NORMALIZED_EXISTING_PAIR;2026-08-06
BE0974293251;AB INBEV;ABI.BR;ABI;XBRU;Belgium;PEA_CANDIDATE;MEDIUM_INDEX_CONSTITUENT;LARGE_CAP_INDEX;HIGH_INDEX;OK;PASSED;77.8;0.72;0.75;65.0;RESEARCH_ONLY;SHADOW_BLOCKED;NONE;FULL;5.0;510.0;73.44;71.571;71.1432;62.9287;65.67;0.2637;1.8586;75.0374;68.1046;0.05;5.73;6.37;38.51;True;True;True;18.2239;17.2322;OK;-0.7;0.0;;;;;;;;;;;PARTIAL_YF_PE;PARTIAL;yfinance;;;NON_OBSERVE;80.938286;10.5;;NON_OBSERVE;;NON_OBSERVE;10.74;;;;PARTIAL_TA;;;;;;NON_OBSERVE;INCOMPLETE;UNKNOWN;75.0;72.0;B;TA_OK_FUND_PARTIAL_OR_MISSING;True;V13.1-PEA-ACTIONS-EURONEXT;V13.1-COMITE-COLS;2026-08-05T08:50:44;2026-08-05T08:52:35;ACTION;Europe;BEL20|EURONEXT100;False;True;False;True;False;False;False;False;Euronext_indices_ETF_Nov2025;2026-07-29;UNKNOWN;MISSING_NO_BULK_SOURCE;;;;;;;;MISSING_NO_SOURCE;;Major Euronext index constituent - typically PEA-eligible if EU criteria met (confirm with broker);"Structural enrichment from ISIN+index lists only; no live market/fundamental data";2026-07-31;AB INBEV;/en/product/equities/BE0974293251-XBRU;2026-08-05T08:31:03;FULL:ABI.BR;510.0;73.44;42.52;Belgium|LARGE_CAP_INDEX|HIGH_INDEX;18.2239;2;18.3493;Yahoo_chart;;;;NON_OBSERVE;;;;;;;;;;;15.86;0.43;2026-08-05;"Finnhub recommendations (BUY/HOLD/SELL counts) + FRED VIX/curve; price-target often empty on free EU";BUY;88.0;24.0;;;;OK;yfinance;YF_CONSENSUS;;;;;;88.0;;0.0;STABLE;;;;OK;2026-08-05T09:04:00;OK;18.22388;17.232212;Consumer Defensive;Beverages - Brewers;buy;1.68;24.0;80.938286;96.765526;67.0905;73.26;1.7 - Buy;88.0;25.0;5.0;14.0;6.0;0.0;0.0;88.0;0.0;STABLE;0.0;0.0;BUY;10.5;OK;Consumer Defensive;Beverages - Brewers;2026-08-05T09:08:51;2026-08-05T09:14:57;ABI;XBRU;Euronext Brussels;EXISTING_PAIR_VALIDATED_STRUCTURALLY;95;Existing referential + Euronext segment normalization;/en/product/equities/BE0974293251-XBRU;NORMALIZED_EXISTING_PAIR;2026-08-06
NL0011540547;ABN AMRO BANK N.V.;ABN.AS;ABN;XAMS;Netherlands;PEA_CANDIDATE;MEDIUM_INDEX_CONSTITUENT;LARGE_CAP_INDEX;HIGH_INDEX;OK;PASSED;77.8;0.72;0.75;65.0;RESEARCH_ONLY;SHADOW_BLOCKED;NONE;FULL;5.0;510.0;39.73;38.128;36.7214;30.9752;58.63;0.0732;0.8786;39.466;36.79;0.09;2.85;35.97;54.29;True;True;True;15.6457;11.125;OK;-14.7;10.4;;;;;;;;;;;PARTIAL_YF_PE;PARTIAL;yfinance;;;NON_OBSERVE;39.85263;0.3;;NON_OBSERVE;;NON_OBSERVE;9.38;;;;PARTIAL_TA;;;;;;NON_OBSERVE;INCOMPLETE;UNKNOWN;75.0;72.0;B;TA_OK_FUND_PARTIAL_OR_MISSING;True;V13.1-PEA-ACTIONS-EURONEXT;V13.1-COMITE-COLS;2026-08-05T08:50:44;2026-08-05T08:52:35;ACTION;Europe;AEX|EURONEXT100;False;True;True;False;False;False;False;False;Euronext_indices_ETF_Nov2025;2026-07-29;UNKNOWN;MISSING_NO_BULK_SOURCE;;;;;;;;MISSING_NO_SOURCE;;Major Euronext index constituent - typically PEA-eligible if EU criteria met (confirm with broker);"Structural enrichment from ISIN+index lists only; no live market/fundamental data";2026-07-31;ABN AMRO BANK N.V.;/en/product/equities/NL0011540547-XAMS;2026-08-05T08:31:03;FULL:ABN.AS;510.0;39.73;59.49;Netherlands|LARGE_CAP_INDEX|HIGH_INDEX;14.17205;2;18.3493;Yahoo_chart;;;;NON_OBSERVE;;;;;;;;;;;15.86;0.43;2026-08-05;"Finnhub recommendations (BUY/HOLD/SELL counts) + FRED VIX/curve; price-target often empty on free EU";BUY;80.0;19.0;;;;OK;yfinance;YF_CONSENSUS;;;;;;80.0;;0.0;STABLE;;;;OK;2026-08-05T09:04:00;OK;15.64567;11.124985;Financial Services;Banks - Diversified;buy;1.9;19.0;39.85263;45.0;29.0;39.74;1.9 - Buy;80.0;20.0;3.0;10.0;6.0;0.0;1.0;80.0;0.0;STABLE;0.0;0.0;BUY;0.3;OK;Financial Services;Banks - Diversified;2026-08-05T09:08:51;2026-08-05T09:14:57;ABN;XAMS;Euronext Amsterdam;EXISTING_PAIR_VALIDATED_STRUCTURALLY;95;Existing referential + Euronext segment normalization;/en/product/equities/NL0011540547-XAMS;NORMALIZED_EXISTING_PAIR;2026-08-06
FR0000120404;ACCOR;AC.PA;AC;XPAR;France;PEA_CANDIDATE;MEDIUM_INDEX_CONSTITUENT;LARGE_CAP_INDEX;HIGH_INDEX;OK;PASSED;77.8;0.72;0.75;65.0;RESEARCH_ONLY;SHADOW_BLOCKED;NONE;FULL;2.0;510.0;46.77;46.887;47.582;45.9119;45.4;-0.077;1.0814;48.9405;44.8335;0.1;-6.46;12.92;3.15;False;False;True;12.8403;17.725;OK;-30.0;-46.1;0.815;5.98;5.98;;;;;;;;PARTIAL_PER_ONLY;PARTIAL;Finnhub;;;NON_OBSERVE;55.38125;18.1;;NON_OBSERVE;;NON_OBSERVE;9.81;;;;PARTIAL_TA;;;;;;NON_OBSERVE;INCOMPLETE;UNKNOWN;75.0;72.0;B;TA_OK_FUND_PARTIAL_OR_MISSING;True;V13.1-PEA-ACTIONS-EURONEXT;V13.1-COMITE-COLS;2026-08-05T08:50:44;2026-08-05T08:52:35;ACTION;Europe;CAC40|EURONEXT100;True;True;False;False;False;False;False;False;Euronext_indices_ETF_Nov2025;2026-07-29;UNKNOWN;MISSING_NO_BULK_SOURCE;;;;;;;;MISSING_NO_SOURCE;;Major Euronext index constituent - typically PEA-eligible if EU criteria met (confirm with broker);"Structural enrichment from ISIN+index lists only; no live market/fundamental data";2026-07-31;ACCOR;/en/product/equities/FR0000120404-XPAR;2026-08-05T08:31:03;FULL:AC.PA;510.0;46.77;11.78;France|LARGE_CAP_INDEX|HIGH_INDEX;23.8261;7;18.3493;Yahoo_chart;;;-48.9;NON_OBSERVE;;;;;;;;;;;15.86;0.43;2026-08-05;"Finnhub recommendations (BUY/HOLD/SELL counts) + FRED VIX/curve; price-target often empty on free EU";BUY;81.2;16.0;;;;OK;yfinance;YF_CONSENSUS;;;;;;81.2;;0.0;STABLE;;;;OK;2026-08-05T09:04:00;OK;41.13158;17.724974;Consumer Cyclical;Lodging;buy;1.8125;16.0;55.38125;70.0;41.0;46.89;1.8 - Buy;81.2;16.0;2.0;9.0;4.0;0.0;1.0;81.2;0.0;STABLE;0.0;0.0;BUY;18.1;OK;Consumer Cyclical;Lodging;2026-08-05T09:08:51;2026-08-05T09:14:57;AC;XPAR;Euronext Paris;EXISTING_PAIR_VALIDATED_STRUCTURALLY;95;Existing referential + Euronext segment normalization;/en/product/equities/FR0000120404-XPAR;NORMALIZED_EXISTING_PAIR;2026-08-06
NL0012969182;ADYEN;ADYEN.AS;ADYEN;XAMS;Netherlands;PEA_CANDIDATE;MEDIUM_INDEX_CONSTITUENT;LARGE_CAP_INDEX;HIGH_INDEX;OK;PASSED;77.8;0.72;0.75;65.0;RESEARCH_ONLY;SHADOW_BLOCKED;NONE;FULL;4.0;510.0;932.6;850.675;856.83;1083.234;61.86;11.7064;33.1286;921.5193;779.8307;0.17;7.37;-4.08;-37.61;True;True;False;27.8125;20.0726;OK;51.6;0.2;;;;;;;;;;;PARTIAL_YF_PE;PARTIAL;yfinance;;;NON_OBSERVE;1330.2941;42.4;;NON_OBSERVE;;NON_OBSERVE;15.07;;;;PARTIAL_TA;;;;;;NON_OBSERVE;INCOMPLETE;UNKNOWN;75.0;72.0;B;TA_OK_FUND_PARTIAL_OR_MISSING;True;V13.1-PEA-ACTIONS-EURONEXT;V13.1-COMITE-COLS;2026-08-05T08:50:44;2026-08-05T08:52:35;ACTION;Europe;AEX|EURONEXT100;False;True;True;False;False;False;False;False;Euronext_indices_ETF_Nov2025;2026-07-29;UNKNOWN;MISSING_NO_BULK_SOURCE;;;;;;;;MISSING_NO_SOURCE;;Major Euronext index constituent - typically PEA-eligible if EU criteria met (confirm with broker);"Structural enrichment from ISIN+index lists only; no live market/fundamental data";2026-07-31;ADYEN;/en/product/equities/NL0012969182-XAMS;2026-08-05T08:31:03;FULL:ADYEN.AS;510.0;932.6;-35.75;Netherlands|LARGE_CAP_INDEX|HIGH_INDEX;27.7681;2;18.3493;Yahoo_chart;;;;NON_OBSERVE;;;;;;;;;;;15.86;0.43;2026-08-05;"Finnhub recommendations (BUY/HOLD/SELL counts) + FRED VIX/curve; price-target often empty on free EU";BUY;89.7;34.0;;;;OK;yfinance;YF_CONSENSUS;;;;;;89.7;;0.0;STABLE;;;;OK;2026-08-05T09:04:00;OK;27.812502;20.072596;Technology;Software - Infrastructure;buy;1.55882;34.0;1330.2941;1900.0;890.0;934.5;1.6 - Buy;89.7;34.0;5.0;22.0;7.0;0.0;0.0;89.7;0.0;STABLE;0.0;0.0;BUY;42.4;OK;Technology;Software - Infrastructure;2026-08-05T09:08:51;2026-08-05T09:14:57;ADYEN;XAMS;Euronext Amsterdam;EXISTING_PAIR_VALIDATED_STRUCTURALLY;95;Existing referential + Euronext segment normalization;/en/product/equities/NL0012969182-XAMS;NORMALIZED_EXISTING_PAIR;2026-08-06
BE0974264930;AGEAS;AGS.BR;AGS;XBRU;Belgium;PEA_CANDIDATE;MEDIUM_INDEX_CONSTITUENT;LARGE_CAP_INDEX;HIGH_INDEX;OK;PASSED;77.8;0.72;0.75;65.0;RESEARCH_ONLY;SHADOW_BLOCKED;NONE;FULL;5.0;510.0;74.35;71.66;69.136;63.4545;63.45;0.1084;1.2464;73.4409;69.8791;0.07;5.16;13.17;21.99;True;True;True;9.4503;8.7059;OK;-48.5;-33.3;4.1858;59.25;59.25;;;;;;;;PARTIAL_PER_ONLY;PARTIAL;Finnhub;;;NON_OBSERVE;70.05833;-5.6;;NON_OBSERVE;;NON_OBSERVE;7.11;;;;PARTIAL_TA;;;;;;NON_OBSERVE;INCOMPLETE;UNKNOWN;75.0;72.0;B;TA_OK_FUND_PARTIAL_OR_MISSING;True;V13.1-PEA-ACTIONS-EURONEXT;V13.1-COMITE-COLS;2026-08-05T08:50:44;2026-08-05T08:52:35;ACTION;Europe;BEL20|EURONEXT100;False;True;False;True;False;False;False;False;Euronext_indices_ETF_Nov2025;2026-07-29;UNKNOWN;MISSING_NO_BULK_SOURCE;;;;;;;;MISSING_NO_SOURCE;;Major Euronext index constituent - typically PEA-eligible if EU criteria met (confirm with broker);"Structural enrichment from ISIN+index lists only; no live market/fundamental data";2026-07-31;AGEAS;/en/product/equities/BE0974264930-XBRU;2026-08-05T08:31:03;FULL:AGS.BR;510.0;74.35;23.5;Belgium|LARGE_CAP_INDEX|HIGH_INDEX;14.17205;2;18.3493;Yahoo_chart;;;;NON_OBSERVE;;;;;;;;;;;15.86;0.43;2026-08-05;"Finnhub recommendations (BUY/HOLD/SELL counts) + FRED VIX/curve; price-target often empty on free EU";SELL;22.2;9.0;0.0;5.0;2025-10-01;OK;Finnhub_recommendation;PARTIAL_FINNHUB_RECO;0.0;0.0;4.0;4.0;1.0;22.2;2025-08-01;0.0;STABLE;0.0;0.0;9.0;OK;2026-08-05T09:04:00;OK;8.162816;8.705885;Financial Services;Insurance - Diversified;hold;2.66667;12.0;70.05833;86.3;60.0;74.2;2.7 - Hold;62.5;12.0;2.0;1.0;9.0;0.0;0.0;62.5;0.0;STABLE;0.0;0.0;HOLD;-5.6;OK;Financial Services;Insurance - Diversified;2026-08-05T09:08:51;2026-08-05T09:14:57;AGS;XBRU;Euronext Brussels;EXISTING_PAIR_VALIDATED_STRUCTURALLY;95;Existing referential + Euronext segment normalization;/en/product/equities/BE0974264930-XBRU;NORMALIZED_EXISTING_PAIR;2026-08-06
FR0000120073;AIR LIQUIDE;AI.PA;AI;XPAR;France;PEA_CANDIDATE;MEDIUM_INDEX_CONSTITUENT;LARGE_CAP_INDEX;HIGH_INDEX;OK;PASSED;77.8;0.72;0.75;65.0;RESEARCH_ONLY;SHADOW_BLOCKED;NONE;FULL;3.0;510.0;173.58;174.825;171.1639;158.603;45.81;-0.8657;2.69;179.6227;170.0273;0.08;-2.26;6.41;9.87;False;True;True;31.1454;24.0129;OK;69.7;24.0;1.9624;-63.91;-63.91;;;;;;;;PARTIAL_YF_PE;PARTIAL;yfinance;;;NON_OBSERVE;196.475;13.3;;NON_OBSERVE;;NON_OBSERVE;6.57;;;;PARTIAL_TA;;;;;;NON_OBSERVE;INCOMPLETE;UNKNOWN;75.0;72.0;B;TA_OK_FUND_PARTIAL_OR_MISSING;True;V13.1-PEA-ACTIONS-EURONEXT;V13.1-COMITE-COLS;2026-08-05T08:50:44;2026-08-05T08:52:35;ACTION;Europe;CAC40|EURONEXT100;True;True;False;False;False;False;False;False;Euronext_indices_ETF_Nov2025;2026-07-29;UNKNOWN;MISSING_NO_BULK_SOURCE;;;;;;;;MISSING_NO_SOURCE;;Major Euronext index constituent - typically PEA-eligible if EU criteria met (confirm with broker);"Structural enrichment from ISIN+index lists only; no live market/fundamental data";2026-07-31;AIR LIQUIDE;/en/product/equities/FR0000120073-XPAR;2026-08-05T08:31:03;FULL:AI.PA;510.0;173.58;10.5;France|LARGE_CAP_INDEX|HIGH_INDEX;25.1105;7;18.3493;Yahoo_chart;;;;NON_OBSERVE;;;;;;;;;;;15.86;0.43;2026-08-05;"Finnhub recommendations (BUY/HOLD/SELL counts) + FRED VIX/curve; price-target often empty on free EU";SELL;25.0;22.0;1.0;12.0;2026-08-01;OK;Finnhub_recommendation;PARTIAL_FINNHUB_RECO;1.0;0.0;9.0;8.0;4.0;25.0;2026-07-01;0.0;STABLE;0.0;0.0;22.0;OK;2026-08-05T09:04:00;OK;31.14542;24.012934;Basic Materials;Specialty Chemicals;strong_buy;1.4;20.0;196.475;216.0;160.0;173.48;1.4 - Strong Buy;95.0;20.0;4.0;14.0;2.0;0.0;0.0;90.0;5.0;UP;1.0;-1.0;BUY;13.3;OK;Basic Materials;Specialty Chemicals;2026-08-05T09:08:51;2026-08-05T09:14:57;AI;XPAR;Euronext Paris;EXISTING_PAIR_VALIDATED_STRUCTURALLY;95;Existing referential + Euronext segment normalization;/en/product/equities/FR0000120073-XPAR;NORMALIZED_EXISTING_PAIR;2026-08-06
NL0000235190;AIRBUS SE;AIR.PA;AIR;XPAR;Netherlands;PEA_CANDIDATE;MEDIUM_INDEX_CONSTITUENT;LARGE_CAP_INDEX;HIGH_INDEX;OK;PASSED;77.8;0.72;0.75;65.0;RESEARCH_ONLY;SHADOW_BLOCKED;NONE;FULL;5.0;510.0;214.35;201.613;192.5328;190.1324;67.61;0.369;5.8929;215.1818;188.0442;0.16;2.36;20.52;21.64;True;True;True;31.4889;24.6477;OK;71.6;44.3;2.567;12.19;12.19;;;;;;;;PARTIAL_PER_ONLY;PARTIAL;Finnhub;;;NON_OBSERVE;229.73914;7.2;;NON_OBSERVE;;NON_OBSERVE;11.66;;;;PARTIAL_TA;;;;;;NON_OBSERVE;INCOMPLETE;UNKNOWN;75.0;72.0;B;TA_OK_FUND_PARTIAL_OR_MISSING;True;V13.1-PEA-ACTIONS-EURONEXT;V13.1-COMITE-COLS;2026-08-05T08:50:44;2026-08-05T08:52:35;ACTION;Europe;CAC40|EURONEXT100;True;True;False;False;False;False;False;False;Euronext_indices_ETF_Nov2025;2026-07-29;UNKNOWN;MISSING_NO_BULK_SOURCE;;;;;;;;MISSING_NO_SOURCE;;Major Euronext index constituent - typically PEA-eligible if EU criteria met (confirm with broker);"Structural enrichment from ISIN+index lists only; no live market/fundamental data";2026-07-31;AIRBUS;/en/product/equities/NL0000235190-XPAR;2026-08-05T08:31:03;FULL:AIR.PA;510.0;214.35;22.43;Netherlands|LARGE_CAP_INDEX|HIGH_INDEX;21.8219;2;18.3493;Yahoo_chart;;;;NON_OBSERVE;;;;;;;;;;;15.86;0.43;2026-08-05;"Finnhub recommendations (BUY/HOLD/SELL counts) + FRED VIX/curve; price-target often empty on free EU";BUY;87.5;12.0;9.0;0.0;2026-08-01;OK;Finnhub_recommendation;PARTIAL_FINNHUB_RECO;3.0;6.0;3.0;0.0;0.0;90.9;2026-07-01;-3.4;DOWN;0.0;0.0;11.0;OK;2026-08-05T09:04:00;OK;28.573334;24.647682;Industrials;Aerospace & Defense;buy;1.83333;23.0;229.73914;260.0;183.0;214.3;1.8 - Buy;85.4;24.0;7.0;11.0;5.0;0.0;1.0;85.4;0.0;STABLE;0.0;0.0;BUY;7.2;OK;Industrials;Aerospace & Defense;2026-08-05T09:08:51;2026-08-05T09:14:57;AIR;XPAR;Euronext Paris;EXISTING_PAIR_VALIDATED_STRUCTURALLY;95;Existing referential + Euronext segment normalization;/en/product/equities/NL0000235190-XPAR;NORMALIZED_EXISTING_PAIR;2026-08-06
NL0013267909;AKZO NOBEL;AKZA.AS;AKZA;XAMS;Netherlands;PEA_CANDIDATE;MEDIUM_INDEX_CONSTITUENT;LARGE_CAP_INDEX;HIGH_INDEX;OK;PASSED;77.8;0.72;0.75;65.0;RESEARCH_ONLY;SHADOW_BLOCKED;NONE;FULL;4.0;510.0;62.98;58.602;59.3852;56.3736;76.23;0.5028;1.6314;62.3474;54.8566;0.06;5.49;28.09;12.5;True;True;True;16.9301;14.6661;OK;-7.7;-32.6;;;;;;;;;;;PARTIAL_YF_PE;PARTIAL;yfinance;;;NON_OBSERVE;63.75;1.2;;NON_OBSERVE;;NON_OBSERVE;10.99;;;;PARTIAL_TA;;;;;;NON_OBSERVE;INCOMPLETE;UNKNOWN;75.0;72.0;B;TA_OK_FUND_PARTIAL_OR_MISSING;True;V13.1-PEA-ACTIONS-EURONEXT;V13.1-COMITE-COLS;2026-08-05T08:50:44;2026-08-05T08:52:35;ACTION;Europe;AEX|EURONEXT100;False;True;True;False;False;False;False;False;Euronext_indices_ETF_Nov2025;2026-07-29;UNKNOWN;MISSING_NO_BULK_SOURCE;;;;;;;;MISSING_NO_SOURCE;;Major Euronext index constituent - typically PEA-eligible if EU criteria met (confirm with broker);"Structural enrichment from ISIN+index lists only; no live market/fundamental data";2026-07-31;AKZO NOBEL;/en/product/equities/NL0013267909-XAMS;2026-08-05T08:31:03;FULL:AKZA.AS;510.0;62.98;15.14;Netherlands|LARGE_CAP_INDEX|HIGH_INDEX;25.1105;2;18.3493;Yahoo_chart;;;;NON_OBSERVE;;;;;;;;;;;15.86;0.43;2026-08-05;"Finnhub recommendations (BUY/HOLD/SELL counts) + FRED VIX/curve; price-target often empty on free EU";BUY;71.9;16.0;;;;OK;yfinance;YF_CONSENSUS;;;;;;75.0;;-3.1;DOWN;;;;OK;2026-08-05T09:04:00;OK;16.930107;14.666055;Basic Materials;Specialty Chemicals;buy;2.1875;16.0;63.75;75.0;55.0;62.98;2.2 - Buy;71.9;16.0;1.0;6.0;9.0;0.0;0.0;75.0;-3.1;DOWN;-2.0;0.0;BUY;1.2;OK;Basic Materials;Specialty Chemicals;2026-08-05T09:08:51;2026-08-05T09:14:57;AKZA;XAMS;Euronext Amsterdam;EXISTING_PAIR_VALIDATED_STRUCTURALLY;95;Existing referential + Euronext segment normalization;/en/product/equities/NL0013267909-XAMS;NORMALIZED_EXISTING_PAIR;2026-08-06
NL0010832176;ARGENX SE;ARGX.BR;ARGX;XBRU;Netherlands;PEA_CANDIDATE;MEDIUM_INDEX_CONSTITUENT;LARGE_CAP_INDEX;HIGH_INDEX;OK;PASSED;77.8;0.72;0.75;65.0;RESEARCH_ONLY;SHADOW_BLOCKED;NONE;FULL;2.0;510.0;737.4;764.81;766.296;716.912;45.95;-5.8055;24.8214;808.954;720.666;0.09;-9.3;8.66;29.73;False;False;True;32.5714;24.3931;OK;77.5;49.4;;;;;;;;;;;PARTIAL_YF_PE;PARTIAL;yfinance;;;NON_OBSERVE;898.1;21.2;;NON_OBSERVE;;NON_OBSERVE;14.28;;;;PARTIAL_TA;;;;;;NON_OBSERVE;INCOMPLETE;UNKNOWN;75.0;72.0;B;TA_OK_FUND_PARTIAL_OR_MISSING;True;V13.1-PEA-ACTIONS-EURONEXT;V13.1-COMITE-COLS;2026-08-05T08:50:44;2026-08-05T08:52:35;ACTION;Europe;BEL20|EURONEXT100;False;True;False;True;False;False;False;False;Euronext_indices_ETF_Nov2025;2026-07-29;UNKNOWN;MISSING_NO_BULK_SOURCE;;;;;;;;MISSING_NO_SOURCE;;Major Euronext index constituent - typically PEA-eligible if EU criteria met (confirm with broker);"Structural enrichment from ISIN+index lists only; no live market/fundamental data";2026-07-31;ARGENX SE;/en/product/equities/NL0010832176-XBRU;2026-08-05T08:31:03;FULL:ARGX.BR;510.0;737.4;22.9;Netherlands|LARGE_CAP_INDEX|HIGH_INDEX;21.8067;2;18.3493;Yahoo_chart;;;;NON_OBSERVE;;;;;;;;;;;15.86;0.43;2026-08-05;"Finnhub recommendations (BUY/HOLD/SELL counts) + FRED VIX/curve; price-target often empty on free EU";BUY;96.0;25.0;23.0;0.0;2026-08-01;OK;Finnhub_recommendation;PARTIAL_FINNHUB_RECO;8.0;15.0;2.0;0.0;0.0;96.0;2026-07-01;0.0;STABLE;0.0;0.0;25.0;OK;2026-08-05T09:04:00;OK;32.57143;24.393064;Healthcare;Biotechnology;buy;1.53333;15.0;898.1;1096.7091;666.9936;741.0;1.5 - Buy;90.0;15.0;3.0;10.0;1.0;0.0;1.0;90.0;0.0;STABLE;0.0;0.0;BUY;21.2;OK;Healthcare;Biotechnology;2026-08-05T09:08:51;2026-08-05T09:14:57;ARGX;XBRU;Euronext Brussels;EXISTING_PAIR_VALIDATED_STRUCTURALLY;95;Existing referential + Euronext segment normalization;/en/product/equities/NL0010832176-XBRU;NORMALIZED_EXISTING_PAIR;2026-08-06
