isin;name;asset_class;pea_type;pea_confidence;provider;country_domicile;region_domicile;category;morningstar_category;geo_exposure;style_factor;distribution_policy;replication_hint;dividend_yield_pct;dividend_data_status;morningstar_rating;perf_1y_pct;perf_3y_pct;perf_5y_pct;rank_cat_1y;rank_cat_3y;rank_cat_5y;perf_data_status;perf_as_of;source;as_of_date;eligible_pea_note;data_enrichment_note;enrichment_as_of;ticker_euronext;ticker_yahoo;mic;currency;mapping_status;ter_pct;aum_m;holdings;volatility_1y_pct;max_drawdown_1y_pct;source_name;source_url;evidence_note;mapping_as_of;original_isin;isin_checksum_before;isin_correction_status;isin_validation_source;isin_validation_as_of;official_benchmark;distribution_frequency;fund_total_assets_eur_m;risk_indicator;tracking_error_1y_pct;tracking_error_3y_pct;tracking_error_5y_pct;official_exchange;isin_checksum_after;ticker_validation_as_of;ticker_validation_wave;ticker_primary;primary_exchange;primary_mic;trading_currency;ticker_identity_status;ticker_confidence_pct;ticker_source_url_final;ticker_source_type;ticker_validated_as_of;ticker_yahoo_final;ticker_yahoo_status;referential_status;referential_actualised_as_of;yahoo_ticker;euronext_symbol;euronext_mic
FR0013380607;Amundi CAC 40 ETF Acc;ETF;PEA_LISTED_LMF;HIGH_LISTED_LESMEILLEURSFONDS;Amundi;France;Europe;Actions France Grandes Cap.;Actions France Grandes Cap.;France;Blend_or_Broad;ACC;PHYSICAL_FULL;;ACC_NO_DISTRIBUTION_EXPECTED;5;9.77;23.17;51.8;;;;CATEGORY_ONLY_FROM_LMF_PERF_MISSING;2026-05-27;lesmeilleursfonds_screenshots_oct2025;2026-07-31;"Listed on lesmeilleursfonds PEA ETF universe (data Oct 2025; confirm eligibility with broker)";Enriched replication 100% from justetf.com/amundietf.fr + perfs Boursorama/JustETF/BorsaItaliana/Investing.com (free) + obligations identified (no perf);2026-07-31;CACC;CACC.PA;XPAR;EUR;VERIFIED_EURONEXT_PARIS;;4466;;;;Boursorama;https://www.boursorama.com/bourse/trackers/cours/1rTCACC/;"ISIN and Euronext Paris ticker CACC confirmed; Yahoo symbol derived as CACC.PA.";2026-08-06;FR0013380607;VALID;UNCHANGED_VALID;ISO 6166 checksum;2026-08-06;;;;;;;;;VALID;2026-08-06;WAVE_01;CACC;Euronext Paris;XPAR;EUR;FINAL_VALIDATED;100;https://www.boursorama.com/bourse/trackers/cours/1rTCACC/;OFFICIAL_OR_MARKET_PAGE;2026-08-06;CACC.PA;DERIVED_FORMAT_REQUIRES_LIVE_TEST;IDENTITY_FINAL_VALIDATED;2026-08-06;CACC.PA;CACC;XPAR
FR0007052782;Amundi CAC 40 ETF Dist;ETF;PEA_LISTED_LMF;HIGH_LISTED_LESMEILLEURSFONDS;Amundi;France;Europe;Actions France Grandes Cap.;Actions France Grandes Cap.;France;Blend_or_Broad;DIST;PHYSICAL_FULL;2.74;DIST_YIELD_NOT_FETCHED;;10.02;22.51;46.2;;;;CATEGORY_ONLY_FROM_LMF_PERF_MISSING;2026-05-27;lesmeilleursfonds_screenshots_oct2025;2026-07-31;"Listed on lesmeilleursfonds PEA ETF universe (data Oct 2025; confirm eligibility with broker)";Enriched replication 100% from justetf.com/amundietf.fr + perfs Boursorama/JustETF/BorsaItaliana/Investing.com (free) + obligations identified (no perf);2026-07-31;;FR0007052782.PA;XPAR;EUR;VERIFIED_YAHOO_DIRECT;;;;;;Yahoo Finance;https://fr.finance.yahoo.com/quote/FR0007052782.PA/;Yahoo Finance exposes the ISIN-based Paris symbol.;2026-08-06;FR0007052782;VALID;UNCHANGED_VALID;ISO 6166 checksum;2026-08-06;;;;;;;;;VALID;;;CAC;Euronext Paris;XPAR;EUR;FINAL_VALIDATED;100;https://www.boursorama.com/bourse/trackers/cours/1rTCAC/;OFFICIAL_OR_MARKET_PAGE;2026-08-06;CAC.PA;DERIVED_FORMAT_REQUIRES_LIVE_TEST;IDENTITY_FINAL_VALIDATED;2026-08-06;CAC.PA;CAC;XPAR
FR001400ZGQ9;Amundi CAC 40 UCITS ETF S-Acc;ETF;PEA_LISTED_LMF;HIGH_LISTED_LESMEILLEURSFONDS;Amundi;France;Europe;Actions France Grandes Cap.;Actions France Grandes Cap.;France;Blend_or_Broad;ACC;PHYSICAL;;ACC_NO_DISTRIBUTION_EXPECTED;;;;;;;;CATEGORY_ONLY_FROM_LMF_PERF_MISSING;2026-05-27;lesmeilleursfonds_screenshots_oct2025;2026-07-31;"Listed on lesmeilleursfonds PEA ETF universe (data Oct 2025; confirm eligibility with broker)";Enriched replication 100% from justetf.com/amundietf.fr + perfs Boursorama/JustETF/BorsaItaliana/Investing.com (free) + obligations identified (no perf);2026-07-31;;FR001400ZGQ9.PA;XPAR_CANDIDATE;EUR;CANDIDATE_NOT_VERIFIED;;;;;;;;ISIN.PA is only a technical Yahoo candidate and must not be used until verified.;2026-08-06;FR001400ZGQ9;VALID;UNCHANGED_VALID;ISO 6166 checksum;2026-08-06;;;;;;;;;VALID;;;CA40;Euronext Paris;XPAR;EUR;FINAL_VALIDATED;100;https://www.boursorama.com/bourse/trackers/cours/1rTCA40/;OFFICIAL_OR_MARKET_PAGE;2026-08-06;CA40.PA;DERIVED_FORMAT_REQUIRES_LIVE_TEST;IDENTITY_FINAL_VALIDATED;2026-08-06;CA40.PA;CA40;XPAR
FR0010655704;Amundi CAC Transition Climat UCITS ETF;ETF;PEA_LISTED_LMF;HIGH_LISTED_LESMEILLEURSFONDS;Amundi;France;Europe;Actions France Grandes Cap.;Actions France Grandes Cap.;France;ESG_Climate;UNKNOWN;PHYSICAL_FULL;;MISSING;3;2.67;13.77;32.02;;;;CATEGORY_ONLY_FROM_LMF_PERF_MISSING;2026-05-27;lesmeilleursfonds_screenshots_oct2025;2026-07-31;"Listed on lesmeilleursfonds PEA ETF universe (data Oct 2025; confirm eligibility with broker)";Enriched replication 100% from justetf.com/amundietf.fr + perfs Boursorama/JustETF/BorsaItaliana/Investing.com (free) + obligations identified (no perf);2026-07-31;CF1;CF1.PA;XPAR;EUR;VERIFIED_EURONEXT_PARIS;;12;;;;Boursorama;https://www.boursorama.com/bourse/trackers/cours/1rTCF1/;"ISIN and Euronext Paris ticker CF1 confirmed; Yahoo symbol derived as CF1.PA.";2026-08-06;FR0010655704;VALID;UNCHANGED_VALID;ISO 6166 checksum;2026-08-06;;;;;;;;;VALID;2026-08-06;WAVE_01;CF1;Euronext Paris;XPAR;EUR;FINAL_VALIDATED;100;https://www.boursorama.com/bourse/trackers/cours/1rTCF1/;OFFICIAL_OR_MARKET_PAGE;2026-08-06;CF1.PA;DERIVED_FORMAT_REQUIRES_LIVE_TEST;IDENTITY_FINAL_VALIDATED;2026-08-06;CF1.PA;CF1;XPAR
LU1681047236;Amundi Core EURO STOXX 50 ETF EUR Acc;ETF;PEA_LISTED_LMF;HIGH_LISTED_LESMEILLEURSFONDS;Amundi;Luxembourg;Europe;Actions Zone Euro Grandes Cap.;Actions Zone Euro Grandes Cap.;Eurozone;Blend_or_Broad;ACC;PHYSICAL_FULL;;ACC_NO_DISTRIBUTION_EXPECTED;4;20.85;54.6;79.59;;;;CATEGORY_ONLY_FROM_LMF_PERF_MISSING;2026-05-27;lesmeilleursfonds_screenshots_oct2025;2026-07-31;"Listed on lesmeilleursfonds PEA ETF universe (data Oct 2025; confirm eligibility with broker)";Enriched replication 100% from justetf.com/amundietf.fr + perfs Boursorama/JustETF/BorsaItaliana/Investing.com (free) + obligations identified (no perf);2026-07-31;C50;C50.PA;XPAR;EUR;VERIFIED_EURONEXT_PARIS;;5143;;;;Boursorama;https://www.boursorama.com/bourse/trackers/cours/1rTC50/;"ISIN and Euronext Paris ticker C50 confirmed; Yahoo symbol derived as C50.PA.";2026-08-06;LU1681047236;VALID;UNCHANGED_VALID;ISO 6166 checksum;2026-08-06;;;;;;;;;VALID;2026-08-06;WAVE_01;C50;Euronext Paris;XPAR;EUR;FINAL_VALIDATED;100;https://www.boursorama.com/bourse/trackers/cours/1rTC50/;OFFICIAL_OR_MARKET_PAGE;2026-08-06;C50.PA;DERIVED_FORMAT_REQUIRES_LIVE_TEST;IDENTITY_FINAL_VALIDATED;2026-08-06;C50.PA;C50;XPAR
LU1681047319;Amundi Core EURO STOXX 50 ETF EUR Dist;ETF;PEA_LISTED_LMF;HIGH_LISTED_LESMEILLEURSFONDS;Amundi;Luxembourg;Europe;Actions Zone Euro Grandes Cap.;Actions Zone Euro Grandes Cap.;Eurozone;Blend_or_Broad;DIST;PHYSICAL_FULL;2.26;DIST_YIELD_NOT_FETCHED;4;20.85;54.73;79.73;;;;CATEGORY_ONLY_FROM_LMF_PERF_MISSING;2026-05-27;lesmeilleursfonds_screenshots_oct2025;2026-07-31;"Listed on lesmeilleursfonds PEA ETF universe (data Oct 2025; confirm eligibility with broker)";Enriched replication 100% from justetf.com/amundietf.fr + perfs Boursorama/JustETF/BorsaItaliana/Investing.com (free) + obligations identified (no perf);2026-07-31;CD5;CD5.PA;XPAR;EUR;VERIFIED_EURONEXT_PARIS;;;;15.68;-10.88;justETF + Euronext;https://www.justetf.com/en-be/etf-profile.html?isin=LU1681047319;"Euronext Paris listing and ticker CD5 confirmed; Reuters RIC CD5.PA.";2026-08-06;LU1681047319;VALID;UNCHANGED_VALID;ISO 6166 checksum;2026-08-06;;;;;;;;;VALID;2026-08-06;WAVE_01;CD5;Euronext Paris;XPAR;EUR;FINAL_VALIDATED;100;https://www.justetf.com/en-be/etf-profile.html?isin=LU1681047319;OFFICIAL_OR_MARKET_PAGE;2026-08-06;CD5.PA;CONFIRMED_BY_LISTING_SOURCE;IDENTITY_FINAL_VALIDATED;2026-08-06;CD5.PA;CD5;XPAR
LU1646361276;Amundi Core MSCI EMU ETF Acc;ETF;PEA_LISTED_LMF;HIGH_LISTED_LESMEILLEURSFONDS;Amundi;Luxembourg;Europe;Actions Zone Euro Grandes Cap.;Actions Zone Euro Grandes Cap.;Eurozone;Blend_or_Broad;ACC;PHYSICAL_FULL;;ACC_NO_DISTRIBUTION_EXPECTED;4;18.06;52.85;65.77;;;;CATEGORY_ONLY_FROM_LMF_PERF_MISSING;2026-05-27;lesmeilleursfonds_screenshots_oct2025;2026-07-31;"Listed on lesmeilleursfonds PEA ETF universe (data Oct 2025; confirm eligibility with broker)";Enriched replication 100% from justetf.com/amundietf.fr + perfs Boursorama/JustETF/BorsaItaliana/Investing.com (free) + obligations identified (no perf);2026-07-31;MFEC;MFEC.PA;XPAR;EUR;VERIFIED_EURONEXT_PARIS;;;;;;Boursorama;https://www.boursorama.com/bourse/trackers/cours/1rTMFEC/;"ISIN and Euronext Paris ticker MFEC confirmed; Yahoo symbol derived as MFEC.PA.";2026-08-06;LU1646361276;VALID;UNCHANGED_VALID;ISO 6166 checksum;2026-08-06;;;;;;;;;VALID;2026-08-06;WAVE_01;MFEC;Euronext Paris;XPAR;EUR;FINAL_VALIDATED;100;https://www.boursorama.com/bourse/trackers/cours/1rTMFEC/;OFFICIAL_OR_MARKET_PAGE;2026-08-06;MFEC.PA;DERIVED_FORMAT_REQUIRES_LIVE_TEST;IDENTITY_FINAL_VALIDATED;2026-08-06;MFEC.PA;MFEC;XPAR
LU1646360971;Amundi Core MSCI EMU ETF Dis;ETF;PEA_LISTED_LMF;HIGH_LISTED_LESMEILLEURSFONDS;Amundi;Luxembourg;Europe;Actions Zone Euro Grandes Cap.;Actions Zone Euro Grandes Cap.;Eurozone;Blend_or_Broad;DIST;PHYSICAL_FULL;2.8;DIST_YIELD_NOT_FETCHED;4;18.06;52.85;65.77;;;;CATEGORY_ONLY_FROM_LMF_PERF_MISSING;2026-05-27;lesmeilleursfonds_screenshots_oct2025;2026-07-31;"Listed on lesmeilleursfonds PEA ETF universe (data Oct 2025; confirm eligibility with broker)";Enriched replication 100% from justetf.com/amundietf.fr + perfs Boursorama/JustETF/BorsaItaliana/Investing.com (free) + obligations identified (no perf);2026-07-31;MFE;MFE.PA;XPAR;EUR;VERIFIED_EURONEXT_PARIS;;1400;;;;Boursorama;https://www.boursorama.com/bourse/trackers/cours/1rTMFE/;"ISIN and Euronext Paris ticker MFE confirmed; Yahoo symbol derived as MFE.PA.";2026-08-06;LU1646360971;VALID;UNCHANGED_VALID;ISO 6166 checksum;2026-08-06;;;;;;;;;VALID;2026-08-06;WAVE_01;MFE;Euronext Paris;XPAR;EUR;FINAL_VALIDATED;100;https://www.boursorama.com/bourse/trackers/cours/1rTMFE/;OFFICIAL_OR_MARKET_PAGE;2026-08-06;MFE.PA;DERIVED_FORMAT_REQUIRES_LIVE_TEST;IDENTITY_FINAL_VALIDATED;2026-08-06;MFE.PA;MFE;XPAR
LU0252633754;Amundi DAX II ETF Acc;ETF;PEA_LISTED_LMF;HIGH_LISTED_LESMEILLEURSFONDS;Amundi;Luxembourg;Europe;Actions Allemagne Gdes Cap.;Actions Allemagne Gdes Cap.;Germany;Blend_or_Broad;ACC;PHYSICAL_FULL;;ACC_NO_DISTRIBUTION_EXPECTED;4;5.72;52.27;59.09;;;;CATEGORY_ONLY_FROM_LMF_PERF_MISSING;2026-05-27;lesmeilleursfonds_screenshots_oct2025;2026-07-31;"Listed on lesmeilleursfonds PEA ETF universe (data Oct 2025; confirm eligibility with broker)";Enriched replication 100% from justetf.com/amundietf.fr + perfs Boursorama/JustETF/BorsaItaliana/Investing.com (free) + obligations identified (no perf);2026-07-31;LYY7;;XGAT;EUR;LISTING_VERIFIED_YAHOO_PENDING;;;;;;Boursorama Tradegate;https://www.boursorama.com/bourse/trackers/cours/performances-risques/1mTLYY7/;Tradegate ticker LYY7 confirmed. Yahoo suffix still requires a live symbol test.;2026-08-06;LU0252633754;VALID;UNCHANGED_VALID;ISO 6166 checksum;2026-08-06;;;;;;;;;VALID;2026-08-06;WAVE_01;DAX;Euronext Paris;XPAR;EUR;FINAL_VALIDATED;100;https://www.justetf.com/en-be/etf-profile.html?isin=LU0252633754;OFFICIAL_OR_MARKET_PAGE;2026-08-06;LYXDAX.PA;CONFIRMED_BY_LISTING_SOURCE;IDENTITY_FINAL_VALIDATED;2026-08-06;LYXDAX.PA;DAX;XPAR
FR0010655712;Amundi ETF DAX DR;ETF;PEA_LISTED_LMF;HIGH_LISTED_LESMEILLEURSFONDS;Amundi;France;Europe;Actions Allemagne Gdes Cap.;Actions Allemagne Gdes Cap.;Germany;Blend_or_Broad;UNKNOWN;PHYSICAL_FULL;;MISSING;;5.41;;;;;;CATEGORY_ONLY_FROM_LMF_PERF_MISSING;2026-07-31;lesmeilleursfonds_screenshots_oct2025;2026-07-31;"Listed on lesmeilleursfonds PEA ETF universe (data Oct 2025; confirm eligibility with broker)";Enriched replication 100% from justetf.com/amundietf.fr + perfs Boursorama/JustETF/BorsaItaliana/Investing.com (free) + obligations identified (no perf);2026-07-31;;FR0010655712.PA;XPAR_CANDIDATE;EUR;CANDIDATE_NOT_VERIFIED;;;;;;;;ISIN.PA is only a technical Yahoo candidate and must not be used until verified.;2026-08-06;FR0010655712;VALID;UNCHANGED_VALID;ISO 6166 checksum;2026-08-06;;;;;;;;;VALID;;;CG1;Euronext Paris;XPAR;EUR;FINAL_VALIDATED;100;https://www.boursorama.com/bourse/trackers/cours/1rTCG1/;OFFICIAL_OR_MARKET_PAGE;2026-08-06;CG1.PA;DERIVED_FORMAT_REQUIRES_LIVE_TEST;IDENTITY_FINAL_VALIDATED;2026-08-06;CG1.PA;CG1;XPAR
