isin;name;asset_class;pea_type;pea_confidence;provider;country_domicile;region_domicile;category;morningstar_category;geo_exposure;style_factor;distribution_policy;replication_hint;dividend_yield_pct;dividend_data_status;morningstar_rating;perf_1y_pct;perf_3y_pct;perf_5y_pct;rank_cat_1y;rank_cat_3y;rank_cat_5y;perf_data_status;perf_as_of;source;as_of_date;eligible_pea_note;data_enrichment_note;enrichment_as_of;ticker_euronext;ticker_yahoo;mic;currency;mapping_status;ter_pct;aum_m;holdings;volatility_1y_pct;max_drawdown_1y_pct;source_name;source_url;evidence_note;mapping_as_of;original_isin;isin_checksum_before;isin_correction_status;isin_validation_source;isin_validation_as_of;official_benchmark;distribution_frequency;fund_total_assets_eur_m;risk_indicator;tracking_error_1y_pct;tracking_error_3y_pct;tracking_error_5y_pct;official_exchange;isin_checksum_after;ticker_validation_as_of;ticker_validation_wave;ticker_primary;primary_exchange;primary_mic;trading_currency;ticker_identity_status;ticker_confidence_pct;ticker_source_url_final;ticker_source_type;ticker_validated_as_of;ticker_yahoo_final;ticker_yahoo_status;referential_status;referential_actualised_as_of;yahoo_ticker;euronext_symbol;euronext_mic;mm20;mm50;mm100;mm200;rsi14;macd;macd_signal;macd_hist;atr14;bb_mid;bb_upper;bb_lower;rvol20;volatility_20d;volatility_60d;max_drawdown_1y;perf_1m_pct;perf_3m_pct;perf_6m_pct;positive_reversal_flag;last_close;volume;relative_strength
FR0013380607;Amundi CAC 40 ETF Acc;ETF;PEA_LISTED_LMF;HIGH_LISTED_LESMEILLEURSFONDS;Amundi;France;Europe;Actions France Grandes Cap.;Actions France Grandes Cap.;France;Blend_or_Broad;ACC;PHYSICAL_FULL;0.0;OK;5;14.694402078211311;31.039399042913818;49.501660055477224;;;;CATEGORY_ONLY_FROM_LMF_PERF_MISSING;2026-05-27;lesmeilleursfonds_screenshots_oct2025;2026-07-31;"Listed on lesmeilleursfonds PEA ETF universe (data Oct 2025; confirm eligibility with broker)";Enriched replication 100% from justetf.com/amundietf.fr + perfs Boursorama/JustETF/BorsaItaliana/Investing.com (free) + obligations identified (no perf);2026-07-31;CACC;CACC.PA;XPAR;EUR;VERIFIED_EURONEXT_PARIS;;4466;;;;Boursorama;https://www.boursorama.com/bourse/trackers/cours/1rTCACC/;"ISIN and Euronext Paris ticker CACC confirmed; Yahoo symbol derived as CACC.PA.";2026-08-06;FR0013380607;VALID;UNCHANGED_VALID;ISO 6166 checksum;2026-08-06;;;;;;;;;VALID;2026-08-06;WAVE_01;CACC;Euronext Paris;XPAR;EUR;FINAL_VALIDATED;100;https://www.boursorama.com/bourse/trackers/cours/1rTCACC/;OFFICIAL_OR_MARKET_PAGE;2026-08-06;CACC.PA;DERIVED_FORMAT_REQUIRES_LIVE_TEST;IDENTITY_FINAL_VALIDATED;2026-08-06;CACC.PA;CACC;XPAR;42.88549995422363;42.48219993591309;41.39204998016358;40.88980897903443;73.95283161122879;0.4493717513454101;0.29780540694694807;0.151566344398462;0.43714278084891184;42.88549995422363;44.240333881697275;41.53066602674999;0.03427463737984003;10.501324866033594;12.22490676037601;-10.768328803725257;4.391051222956133;9.456434529703417;7.090816287775281;False;44.099998474121094;1121.0;-8.152
FR0007052782;Amundi CAC 40 ETF Dist;ETF;PEA_LISTED_LMF;HIGH_LISTED_LESMEILLEURSFONDS;Amundi;France;Europe;Actions France Grandes Cap.;Actions France Grandes Cap.;France;Blend_or_Broad;DIST;PHYSICAL_FULL;2.74;OK;;14.756280280716826;31.026895238337993;49.5200193998449;;;;CATEGORY_ONLY_FROM_LMF_PERF_MISSING;2026-05-27;lesmeilleursfonds_screenshots_oct2025;2026-07-31;"Listed on lesmeilleursfonds PEA ETF universe (data Oct 2025; confirm eligibility with broker)";Enriched replication 100% from justetf.com/amundietf.fr + perfs Boursorama/JustETF/BorsaItaliana/Investing.com (free) + obligations identified (no perf);2026-07-31;;FR0007052782.PA;XPAR;EUR;VERIFIED_YAHOO_DIRECT;;;;;;Yahoo Finance;https://fr.finance.yahoo.com/quote/FR0007052782.PA/;Yahoo Finance exposes the ISIN-based Paris symbol.;2026-08-06;FR0007052782;VALID;UNCHANGED_VALID;ISO 6166 checksum;2026-08-06;;;;;;;;;VALID;;;CAC;Euronext Paris;XPAR;EUR;FINAL_VALIDATED;100;https://www.boursorama.com/bourse/trackers/cours/1rTCAC/;OFFICIAL_OR_MARKET_PAGE;2026-08-06;CAC.PA;DERIVED_FORMAT_REQUIRES_LIVE_TEST;IDENTITY_FINAL_VALIDATED;2026-08-06;CAC.PA;CAC;XPAR;85.38899955749511;84.58279983520508;82.3998998260498;81.4107709121704;74.7956485404358;0.8986546966054618;0.5941218454621157;0.30453285114334616;0.8578567504882812;85.38899955749511;88.09223659581369;82.68576251917654;0.06695761712193124;9.881138885821784;11.7965855429789;-10.850611902089558;4.483820838445762;9.538655632139115;6.96457008643705;False;87.8499984741211;1087.0;-8.091
FR001400ZGQ9;Amundi CAC 40 UCITS ETF S-Acc;ETF;PEA_LISTED_LMF;HIGH_LISTED_LESMEILLEURSFONDS;Amundi;France;Europe;Actions France Grandes Cap.;Actions France Grandes Cap.;France;Blend_or_Broad;ACC;PHYSICAL;0.0;OK;;14.744351119220722;;;;;;CATEGORY_ONLY_FROM_LMF_PERF_MISSING;2026-05-27;lesmeilleursfonds_screenshots_oct2025;2026-07-31;"Listed on lesmeilleursfonds PEA ETF universe (data Oct 2025; confirm eligibility with broker)";Enriched replication 100% from justetf.com/amundietf.fr + perfs Boursorama/JustETF/BorsaItaliana/Investing.com (free) + obligations identified (no perf);2026-07-31;;FR001400ZGQ9.PA;XPAR_CANDIDATE;EUR;CANDIDATE_NOT_VERIFIED;;;;;;;;ISIN.PA is only a technical Yahoo candidate and must not be used until verified.;2026-08-06;FR001400ZGQ9;VALID;UNCHANGED_VALID;ISO 6166 checksum;2026-08-06;;;;;;;;;VALID;;;CA40;Euronext Paris;XPAR;EUR;FINAL_VALIDATED;100;https://www.boursorama.com/bourse/trackers/cours/1rTCA40/;OFFICIAL_OR_MARKET_PAGE;2026-08-06;CA40.PA;DERIVED_FORMAT_REQUIRES_LIVE_TEST;IDENTITY_FINAL_VALIDATED;2026-08-06;CA40.PA;CA40;XPAR;5.624849963188171;5.572179975509644;5.427829985618591;5.362718989849091;72.06703067296175;0.05984859825798594;0.039331210593426376;0.020517387664559565;0.05528572627476284;5.624849963188171;5.807259967656614;5.442439958719729;1.4579609176613533;11.230634654631848;12.287629115563515;-11.039657467718733;4.682694234193163;9.700645997820168;7.0240318883316055;False;5.789999961853027;16679.0;-8.102
FR0010655704;Amundi CAC Transition Climat UCITS ETF;ETF;PEA_LISTED_LMF;HIGH_LISTED_LESMEILLEURSFONDS;Amundi;France;Europe;Actions France Grandes Cap.;Actions France Grandes Cap.;France;ESG_Climate;UNKNOWN;PHYSICAL_FULL;0.0;OK;3;7.7959941963608115;21.936814863603193;35.052491813925315;;;;CATEGORY_ONLY_FROM_LMF_PERF_MISSING;2026-05-27;lesmeilleursfonds_screenshots_oct2025;2026-07-31;"Listed on lesmeilleursfonds PEA ETF universe (data Oct 2025; confirm eligibility with broker)";Enriched replication 100% from justetf.com/amundietf.fr + perfs Boursorama/JustETF/BorsaItaliana/Investing.com (free) + obligations identified (no perf);2026-07-31;CF1;CF1.PA;XPAR;EUR;VERIFIED_EURONEXT_PARIS;;12;;;;Boursorama;https://www.boursorama.com/bourse/trackers/cours/1rTCF1/;"ISIN and Euronext Paris ticker CF1 confirmed; Yahoo symbol derived as CF1.PA.";2026-08-06;FR0010655704;VALID;UNCHANGED_VALID;ISO 6166 checksum;2026-08-06;;;;;;;;;VALID;2026-08-06;WAVE_01;CF1;Euronext Paris;XPAR;EUR;FINAL_VALIDATED;100;https://www.boursorama.com/bourse/trackers/cours/1rTCF1/;OFFICIAL_OR_MARKET_PAGE;2026-08-06;CF1.PA;DERIVED_FORMAT_REQUIRES_LIVE_TEST;IDENTITY_FINAL_VALIDATED;2026-08-06;CF1.PA;CF1;XPAR;431.04749755859376;429.3329998779297;416.7804998779297;423.6638223266602;67.1905614991858;3.865319083274926;2.058072726816108;1.8072463564588181;4.457144601004464;431.04749755859376;445.5239977963493;416.5709973208382;1.6837560712358337;14.273121470271978;14.759168476828691;-15.18987247406548;3.6185361921657666;9.891065315853908;2.434806971558845;True;443.8500061035156;156.0;-15.051
LU1681047236;Amundi Core EURO STOXX 50 ETF EUR Acc;ETF;PEA_LISTED_LMF;HIGH_LISTED_LESMEILLEURSFONDS;Amundi;Luxembourg;Europe;Actions Zone Euro Grandes Cap.;Actions Zone Euro Grandes Cap.;Eurozone;Blend_or_Broad;ACC;PHYSICAL_FULL;0.0;OK;4;24.23683035760227;66.16027393380261;78.60787303965331;;;;CATEGORY_ONLY_FROM_LMF_PERF_MISSING;2026-05-27;lesmeilleursfonds_screenshots_oct2025;2026-07-31;"Listed on lesmeilleursfonds PEA ETF universe (data Oct 2025; confirm eligibility with broker)";Enriched replication 100% from justetf.com/amundietf.fr + perfs Boursorama/JustETF/BorsaItaliana/Investing.com (free) + obligations identified (no perf);2026-07-31;C50;C50.PA;XPAR;EUR;VERIFIED_EURONEXT_PARIS;;5143;;;;Boursorama;https://www.boursorama.com/bourse/trackers/cours/1rTC50/;"ISIN and Euronext Paris ticker C50 confirmed; Yahoo symbol derived as C50.PA.";2026-08-06;LU1681047236;VALID;UNCHANGED_VALID;ISO 6166 checksum;2026-08-06;;;;;;;;;VALID;2026-08-06;WAVE_01;C50;Euronext Paris;XPAR;EUR;FINAL_VALIDATED;100;https://www.boursorama.com/bourse/trackers/cours/1rTC50/;OFFICIAL_OR_MARKET_PAGE;2026-08-06;C50.PA;DERIVED_FORMAT_REQUIRES_LIVE_TEST;IDENTITY_FINAL_VALIDATED;2026-08-06;C50.PA;C50;XPAR;169.89799957275392;167.93079986572266;161.50599960327148;157.3470654296875;72.93146968933155;1.8414477039956978;1.2614880037257397;0.5799597002699581;1.8671417236328125;169.89799957275392;175.27648884134368;164.51951030416416;0.028387025823258118;12.143107768434616;13.99058724480184;-10.814469792741033;3.980984448456426;11.949841223483082;9.993710425214775;False;175.0;413.0;1.39
LU1681047319;Amundi Core EURO STOXX 50 ETF EUR Dist;ETF;PEA_LISTED_LMF;HIGH_LISTED_LESMEILLEURSFONDS;Amundi;Luxembourg;Europe;Actions Zone Euro Grandes Cap.;Actions Zone Euro Grandes Cap.;Eurozone;Blend_or_Broad;DIST;PHYSICAL_FULL;2.27;OK;4;24.215470363791034;66.28424608621526;78.87105386169013;;;;CATEGORY_ONLY_FROM_LMF_PERF_MISSING;2026-05-27;lesmeilleursfonds_screenshots_oct2025;2026-07-31;"Listed on lesmeilleursfonds PEA ETF universe (data Oct 2025; confirm eligibility with broker)";Enriched replication 100% from justetf.com/amundietf.fr + perfs Boursorama/JustETF/BorsaItaliana/Investing.com (free) + obligations identified (no perf);2026-07-31;CD5;CD5.PA;XPAR;EUR;VERIFIED_EURONEXT_PARIS;;;;15.68;-10.88;justETF + Euronext;https://www.justetf.com/en-be/etf-profile.html?isin=LU1681047319;"Euronext Paris listing and ticker CD5 confirmed; Reuters RIC CD5.PA.";2026-08-06;LU1681047319;VALID;UNCHANGED_VALID;ISO 6166 checksum;2026-08-06;;;;;;;;;VALID;2026-08-06;WAVE_01;CD5;Euronext Paris;XPAR;EUR;FINAL_VALIDATED;100;https://www.justetf.com/en-be/etf-profile.html?isin=LU1681047319;OFFICIAL_OR_MARKET_PAGE;2026-08-06;CD5.PA;CONFIRMED_BY_LISTING_SOURCE;IDENTITY_FINAL_VALIDATED;2026-08-06;CD5.PA;CD5;XPAR;102.33899993896485;101.1618002319336;97.28810020446777;94.77876892089844;71.85188220201529;1.1109228281878671;0.7565779762182274;0.3543448519696397;1.105715070452009;102.33899993896485;105.59771170168275;99.08028817624694;0.0005876534020234865;12.510486450956279;14.064239551702764;-10.783209972108654;4.044196305575842;12.212769528652757;10.046953610972187;False;105.4800033569336;6.0;1.369
LU1646361276;Amundi Core MSCI EMU ETF Acc;ETF;PEA_LISTED_LMF;HIGH_LISTED_LESMEILLEURSFONDS;Amundi;Luxembourg;Europe;Actions Zone Euro Grandes Cap.;Actions Zone Euro Grandes Cap.;Eurozone;Blend_or_Broad;ACC;PHYSICAL_FULL;0.0;OK;4;18.06;52.85;65.77;;;;CATEGORY_ONLY_FROM_LMF_PERF_MISSING;2026-05-27;lesmeilleursfonds_screenshots_oct2025;2026-07-31;"Listed on lesmeilleursfonds PEA ETF universe (data Oct 2025; confirm eligibility with broker)";Enriched replication 100% from justetf.com/amundietf.fr + perfs Boursorama/JustETF/BorsaItaliana/Investing.com (free) + obligations identified (no perf);2026-07-31;MFEC;MFEC.PA;XPAR;EUR;VERIFIED_EURONEXT_PARIS;;;;;;Boursorama;https://www.boursorama.com/bourse/trackers/cours/1rTMFEC/;"ISIN and Euronext Paris ticker MFEC confirmed; Yahoo symbol derived as MFEC.PA.";2026-08-06;LU1646361276;VALID;UNCHANGED_VALID;ISO 6166 checksum;2026-08-06;;;;;;;;;VALID;2026-08-06;WAVE_01;MFEC;Euronext Paris;XPAR;EUR;FINAL_VALIDATED;100;https://www.boursorama.com/bourse/trackers/cours/1rTMFEC/;OFFICIAL_OR_MARKET_PAGE;2026-08-06;MFEC.PA;DERIVED_FORMAT_REQUIRES_LIVE_TEST;IDENTITY_FINAL_VALIDATED;2026-08-06;MFEC.PA;MFEC;XPAR;;;;;;;;;;;;;;;;;;;;;;;
LU1646360971;Amundi Core MSCI EMU ETF Dis;ETF;PEA_LISTED_LMF;HIGH_LISTED_LESMEILLEURSFONDS;Amundi;Luxembourg;Europe;Actions Zone Euro Grandes Cap.;Actions Zone Euro Grandes Cap.;Eurozone;Blend_or_Broad;DIST;PHYSICAL_FULL;2.89;OK;4;23.38059808485824;65.87336021359438;67.15153069058093;;;;CATEGORY_ONLY_FROM_LMF_PERF_MISSING;2026-05-27;lesmeilleursfonds_screenshots_oct2025;2026-07-31;"Listed on lesmeilleursfonds PEA ETF universe (data Oct 2025; confirm eligibility with broker)";Enriched replication 100% from justetf.com/amundietf.fr + perfs Boursorama/JustETF/BorsaItaliana/Investing.com (free) + obligations identified (no perf);2026-07-31;MFE;MFE.PA;XPAR;EUR;VERIFIED_EURONEXT_PARIS;;1400;;;;Boursorama;https://www.boursorama.com/bourse/trackers/cours/1rTMFE/;"ISIN and Euronext Paris ticker MFE confirmed; Yahoo symbol derived as MFE.PA.";2026-08-06;LU1646360971;VALID;UNCHANGED_VALID;ISO 6166 checksum;2026-08-06;;;;;;;;;VALID;2026-08-06;WAVE_01;MFE;Euronext Paris;XPAR;EUR;FINAL_VALIDATED;100;https://www.boursorama.com/bourse/trackers/cours/1rTMFE/;OFFICIAL_OR_MARKET_PAGE;2026-08-06;MFE.PA;DERIVED_FORMAT_REQUIRES_LIVE_TEST;IDENTITY_FINAL_VALIDATED;2026-08-06;MFE.PA;MFE;XPAR;83.38099975585938;82.85579971313477;79.81249961853027;77.30022563934327;70.52771526313103;0.675194815193791;0.4083335493164476;0.2668612658773434;0.7628566196986607;83.38099975585938;85.59834772397424;81.16365178774451;0.09575901189683995;11.486082991304645;12.945917074651994;-10.225134781008748;3.1095598325854956;10.131311425931667;9.792100952401462;False;85.55000305175781;295.0;0.534
LU0252633754;Amundi DAX II ETF Acc;ETF;PEA_LISTED_LMF;HIGH_LISTED_LESMEILLEURSFONDS;Amundi;Luxembourg;Europe;Actions Allemagne Gdes Cap.;Actions Allemagne Gdes Cap.;Germany;Blend_or_Broad;ACC;PHYSICAL_FULL;;ACC_NO_DISTRIBUTION_EXPECTED;4;5.72;52.27;59.09;;;;CATEGORY_ONLY_FROM_LMF_PERF_MISSING;2026-05-27;lesmeilleursfonds_screenshots_oct2025;2026-07-31;"Listed on lesmeilleursfonds PEA ETF universe (data Oct 2025; confirm eligibility with broker)";Enriched replication 100% from justetf.com/amundietf.fr + perfs Boursorama/JustETF/BorsaItaliana/Investing.com (free) + obligations identified (no perf);2026-07-31;LYY7;;XGAT;EUR;LISTING_VERIFIED_YAHOO_PENDING;;;;;;Boursorama Tradegate;https://www.boursorama.com/bourse/trackers/cours/performances-risques/1mTLYY7/;Tradegate ticker LYY7 confirmed. Yahoo suffix still requires a live symbol test.;2026-08-06;LU0252633754;VALID;UNCHANGED_VALID;ISO 6166 checksum;2026-08-06;;;;;;;;;VALID;2026-08-06;WAVE_01;DAX;Euronext Paris;XPAR;EUR;FINAL_VALIDATED;100;https://www.justetf.com/en-be/etf-profile.html?isin=LU0252633754;OFFICIAL_OR_MARKET_PAGE;2026-08-06;LYXDAX.PA;CONFIRMED_BY_LISTING_SOURCE;IDENTITY_FINAL_VALIDATED;2026-08-06;LYXDAX.PA;DAX;XPAR;;;;;;;;;;;;;;;;;;;;;;;
FR0010655712;Amundi ETF DAX DR;ETF;PEA_LISTED_LMF;HIGH_LISTED_LESMEILLEURSFONDS;Amundi;France;Europe;Actions Allemagne Gdes Cap.;Actions Allemagne Gdes Cap.;Germany;Blend_or_Broad;UNKNOWN;PHYSICAL_FULL;0.0;OK;;8.046115230936834;64.7549723548245;61.51436456293516;;;;CATEGORY_ONLY_FROM_LMF_PERF_MISSING;2026-07-31;lesmeilleursfonds_screenshots_oct2025;2026-07-31;"Listed on lesmeilleursfonds PEA ETF universe (data Oct 2025; confirm eligibility with broker)";Enriched replication 100% from justetf.com/amundietf.fr + perfs Boursorama/JustETF/BorsaItaliana/Investing.com (free) + obligations identified (no perf);2026-07-31;;FR0010655712.PA;XPAR_CANDIDATE;EUR;CANDIDATE_NOT_VERIFIED;;;;;;;;ISIN.PA is only a technical Yahoo candidate and must not be used until verified.;2026-08-06;FR0010655712;VALID;UNCHANGED_VALID;ISO 6166 checksum;2026-08-06;;;;;;;;;VALID;;;CG1;Euronext Paris;XPAR;EUR;FINAL_VALIDATED;100;https://www.boursorama.com/bourse/trackers/cours/1rTCG1/;OFFICIAL_OR_MARKET_PAGE;2026-08-06;CG1.PA;DERIVED_FORMAT_REQUIRES_LIVE_TEST;IDENTITY_FINAL_VALIDATED;2026-08-06;CG1.PA;CG1;XPAR;448.8525054931641;444.0100030517578;434.32400085449217;433.1864163208008;79.05086321446812;5.439134202897662;3.6380231826438276;1.8011110202538347;4.785716465541294;448.8525054931641;466.68282909869237;431.0221818876358;0.016309585588257097;11.240340898810837;14.406816018088723;-12.343493009868423;4.729122394363716;8.653398643332855;4.63464560068183;False;463.95001220703125;11.0;-14.801
