universe;isin;name;ticker;group;missing_fields;preferred_method;mode;priority_score;status
ACTION;BE0003008019;BQUE NAT. BELGIQUE;BNB.BR;TECHNICAL_DERIVED;mm20|mm50|mm100|mm200|rsi14|macd_hist|atr14|bb_upper|bb_lower|rvol20|volatility_20d|volatility_60d|max_drawdown_1y|relative_strength;INTERNAL_FROM_OHLCV;COMPUTE;151;PENDING
ACTION;BE0003463685;CUMULEX;CLEX.BR;TECHNICAL_DERIVED;mm20|mm50|mm100|mm200|rsi14|macd_hist|atr14|bb_upper|bb_lower|rvol20|volatility_20d|volatility_60d|max_drawdown_1y|relative_strength;INTERNAL_FROM_OHLCV;COMPUTE;151;PENDING
ACTION;BE0003519270;CO.BR.HA (D);COBH;TECHNICAL_DERIVED;mm20|mm50|mm100|mm200|rsi14|macd_hist|atr14|bb_upper|bb_lower|rvol20|volatility_20d|volatility_60d|max_drawdown_1y|relative_strength;INTERNAL_FROM_OHLCV;COMPUTE;151;PENDING
ACTION;BE0003545531;SOLVACNOM(RETAIL);SOLV.BR;TECHNICAL_DERIVED;mm20|mm50|mm100|mm200|rsi14|macd_hist|atr14|bb_upper|bb_lower|rvol20|volatility_20d|volatility_60d|max_drawdown_1y|relative_strength;INTERNAL_FROM_OHLCV;COMPUTE;151;PENDING
ACTION;BE0003555639;TESSENDERLO GROUP;TESB.BR;TECHNICAL_DERIVED;mm20|mm50|mm100|mm200|rsi14|macd_hist|atr14|bb_upper|bb_lower|rvol20|volatility_20d|volatility_60d|max_drawdown_1y|relative_strength;INTERNAL_FROM_OHLCV;COMPUTE;151;PENDING
ACTION;BE0003592038;CIE BOIS SAUVAGE;COMB.BR;TECHNICAL_DERIVED;mm20|mm50|mm100|mm200|rsi14|macd_hist|atr14|bb_upper|bb_lower|rvol20|volatility_20d|volatility_60d|max_drawdown_1y|relative_strength;INTERNAL_FROM_OHLCV;COMPUTE;151;PENDING
ACTION;BE0003593044;COFINIMMO;;TECHNICAL_DERIVED;mm20|mm50|mm100|mm200|rsi14|macd_hist|atr14|bb_upper|bb_lower|rvol20|volatility_20d|volatility_60d|max_drawdown_1y|relative_strength;INTERNAL_FROM_OHLCV;COMPUTE;151;PENDING
ACTION;BE0003599108;IMMOBEL;IMMO.BR;TECHNICAL_DERIVED;mm20|mm50|mm100|mm200|rsi14|macd_hist|atr14|bb_upper|bb_lower|rvol20|volatility_20d|volatility_60d|max_drawdown_1y|relative_strength;INTERNAL_FROM_OHLCV;COMPUTE;151;PENDING
ACTION;BE0003602134;MOURY CONSTRUCT;MOUR.BR;TECHNICAL_DERIVED;mm20|mm50|mm100|mm200|rsi14|macd_hist|atr14|bb_upper|bb_lower|rvol20|volatility_20d|volatility_60d|max_drawdown_1y|relative_strength;INTERNAL_FROM_OHLCV;COMPUTE;151;PENDING
ACTION;BE0003656676;RECTICEL;RECT.BR;TECHNICAL_DERIVED;mm20|mm50|mm100|mm200|rsi14|macd_hist|atr14|bb_upper|bb_lower|rvol20|volatility_20d|volatility_60d|max_drawdown_1y|relative_strength;INTERNAL_FROM_OHLCV;COMPUTE;151;PENDING
ACTION;BE0003680916;NEUFCOUR-FIN.;MLNEU;TECHNICAL_DERIVED;mm20|mm50|mm100|mm200|rsi14|macd_hist|atr14|bb_upper|bb_lower|rvol20|volatility_20d|volatility_60d|max_drawdown_1y|relative_strength;INTERNAL_FROM_OHLCV;COMPUTE;151;PENDING
ACTION;BE0003696102;ACCENTIS;ACCB.BR;TECHNICAL_DERIVED;mm20|mm50|mm100|mm200|rsi14|macd_hist|atr14|bb_upper|bb_lower|rvol20|volatility_20d|volatility_60d|max_drawdown_1y|relative_strength;INTERNAL_FROM_OHLCV;COMPUTE;151;PENDING
ACTION;BE0003699130;GIMV;GIMB.BR;TECHNICAL_DERIVED;mm20|mm50|mm100|mm200|rsi14|macd_hist|atr14|bb_upper|bb_lower|rvol20|volatility_20d|volatility_60d|max_drawdown_1y|relative_strength;INTERNAL_FROM_OHLCV;COMPUTE;151;PENDING
ACTION;BE0003731453;MIKO;MIKO.BR;TECHNICAL_DERIVED;mm20|mm50|mm100|mm200|rsi14|macd_hist|atr14|bb_upper|bb_lower|rvol20|volatility_20d|volatility_60d|max_drawdown_1y|relative_strength;INTERNAL_FROM_OHLCV;COMPUTE;151;PENDING
ACTION;BE0003735496;ORANGE BELGIUM;OBEL.BR;TECHNICAL_DERIVED;mm20|mm50|mm100|mm200|rsi14|macd_hist|atr14|bb_upper|bb_lower|rvol20|volatility_20d|volatility_60d|max_drawdown_1y|relative_strength;INTERNAL_FROM_OHLCV;COMPUTE;151;PENDING
ACTION;BE0003741551;ROULARTA;ROU.BR;TECHNICAL_DERIVED;mm20|mm50|mm100|mm200|rsi14|macd_hist|atr14|bb_upper|bb_lower|rvol20|volatility_20d|volatility_60d|max_drawdown_1y|relative_strength;INTERNAL_FROM_OHLCV;COMPUTE;151;PENDING
