isin;name;field;reason;detail;euronext_link;amf_geco_search
LU1598757687;ARCELORMITTAL SA;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/LU1598757687-XAMS;https://geco.amf-france.org
BE0974293251;AB INBEV;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/BE0974293251-XBRU;https://geco.amf-france.org
NL0011540547;ABN AMRO BANK N.V.;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/NL0011540547-XAMS;https://geco.amf-france.org
FR0000120404;ACCOR;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/FR0000120404-XPAR;https://geco.amf-france.org
NL0012969182;ADYEN;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/NL0012969182-XAMS;https://geco.amf-france.org
BE0974264930;AGEAS;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/BE0974264930-XBRU;https://geco.amf-france.org
FR0000120073;AIR LIQUIDE;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/FR0000120073-XPAR;https://geco.amf-france.org
NL0000235190;AIRBUS SE;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/NL0000235190-XPAR;https://geco.amf-france.org
NL0013267909;AKZO NOBEL;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/NL0013267909-XAMS;https://geco.amf-france.org
NL0010832176;ARGENX SE;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/NL0010832176-XBRU;https://geco.amf-france.org
