theme_id;level;parent;label;structural_horizon;primary_driver_family;status
TECH;SECTOR;;Technology;LT;TECHNOLOGY;ACTIVE_TAXONOMY
AI;THEME;TECH;Artificial Intelligence;LT;AI_DEMAND;ACTIVE_TAXONOMY
AI_COMPUTE;SUBTHEME;AI;AI Compute Accelerators;MT_LT;COMPUTE_CAPEX;ACTIVE_TAXONOMY
SEMIS;SUBTHEME;TECH;Semiconductors;CT_MT;SEMICONDUCTOR_CYCLE;ACTIVE_TAXONOMY
SEMI_EQUIP;SUBTHEME;SEMIS;Semiconductor Equipment;MT_LT;FAB_CAPEX;ACTIVE_TAXONOMY
MEMORY;SUBTHEME;SEMIS;Memory DRAM NAND HBM;CT_MT;MEMORY_PRICING;ACTIVE_TAXONOMY
SERVERS;SUBTHEME;AI;AI Servers;MT;SERVER_DEMAND;ACTIVE_TAXONOMY
DATA_CENTERS;THEME;AI;Data Centers;MT_LT;HYPERSCALER_CAPEX;ACTIVE_TAXONOMY
COOLING;SUBTHEME;DATA_CENTERS;Data Center Cooling;MT_LT;THERMAL_DENSITY;ACTIVE_TAXONOMY
POWER_INFRA;SUBTHEME;DATA_CENTERS;Data Center Power Infrastructure;MT_LT;POWER_DEMAND;ACTIVE_TAXONOMY
SOFTWARE;SUBTHEME;TECH;Software SaaS;CT_MT;ARR_BOOKINGS;ACTIVE_TAXONOMY
CLOUD;SUBTHEME;TECH;Cloud Infrastructure;MT_LT;CLOUD_CAPEX;ACTIVE_TAXONOMY
CYBER;THEME;TECH;Cybersecurity;MT_LT;CYBER_BUDGETS;ACTIVE_TAXONOMY
INDUSTRIALS;SECTOR;;Industrials;MT;CAPEX_CYCLE;ACTIVE_TAXONOMY
AUTOMATION;THEME;INDUSTRIALS;Industrial Automation;MT_LT;AUTOMATION_CAPEX;ACTIVE_TAXONOMY
ROBOTICS;THEME;INDUSTRIALS;Robotics;MT_LT;ROBOT_ORDERS;ACTIVE_TAXONOMY
RESHORING;THEME;INDUSTRIALS;Reshoring Reindustrialization;LT;INDUSTRIAL_POLICY;ACTIVE_TAXONOMY
ELECTRIFICATION;THEME;INDUSTRIALS;Electrification;LT;ELECTRIC_CAPEX;ACTIVE_TAXONOMY
GRID;THEME;ELECTRIFICATION;Electrical Grid;MT_LT;UTILITY_CAPEX;ACTIVE_TAXONOMY
TRANSFORMERS;SUBTHEME;GRID;Transformers and Switchgear;MT_LT;GRID_BACKLOG;ACTIVE_TAXONOMY
DEFENSE;SECTOR;;Defense and Aerospace;MT_LT;DEFENSE_BUDGETS;ACTIVE_TAXONOMY
LAND_DEFENSE;SUBTHEME;DEFENSE;Land Defense;MT_LT;ORDERS_BACKLOG;ACTIVE_TAXONOMY
MISSILES;SUBTHEME;DEFENSE;Missiles and Munitions;MT_LT;ORDERS_CAPACITY;ACTIVE_TAXONOMY
DRONES;SUBTHEME;DEFENSE;Drones and Unmanned Systems;MT_LT;ORDERS_TECH;ACTIVE_TAXONOMY
RADAR_EW;SUBTHEME;DEFENSE;Radar Electronic Warfare;MT_LT;ORDERS_TECH;ACTIVE_TAXONOMY
SPACE;SUBTHEME;DEFENSE;Space;LT;GOV_PRIVATE_CAPEX;ACTIVE_TAXONOMY
CIVIL_AERO;SUBTHEME;INDUSTRIALS;Civil Aerospace;MT;DELIVERIES_BACKLOG;ACTIVE_TAXONOMY
ENERGY;SECTOR;;Energy;CT_MT;COMMODITY_CYCLE;ACTIVE_TAXONOMY
OIL_GAS;SUBTHEME;ENERGY;Oil and Gas;CT_MT;OIL_GAS_BALANCE;ACTIVE_TAXONOMY
OIL_SERVICES;SUBTHEME;ENERGY;Oil Services;MT;UPSTREAM_CAPEX;ACTIVE_TAXONOMY
REFINING;SUBTHEME;ENERGY;Refining;CT;CRACK_SPREADS;ACTIVE_TAXONOMY
LNG;SUBTHEME;ENERGY;LNG;MT_LT;LNG_CAPACITY;ACTIVE_TAXONOMY
NUCLEAR;THEME;ENERGY;Nuclear;MT_LT;NUCLEAR_BUILDOUT;ACTIVE_TAXONOMY
URANIUM;SUBTHEME;NUCLEAR;Uranium;CT_MT;URANIUM_BALANCE;ACTIVE_TAXONOMY
ENRICHMENT;SUBTHEME;NUCLEAR;Nuclear Enrichment;MT_LT;ENRICHMENT_CAPACITY;ACTIVE_TAXONOMY
SMR;SUBTHEME;NUCLEAR;Small Modular Reactors;LT;PROJECT_PIPELINE;ACTIVE_TAXONOMY
RENEWABLES;SECTOR;;Renewable Energy;MT_LT;PROJECT_ECONOMICS;ACTIVE_TAXONOMY
SOLAR;SUBTHEME;RENEWABLES;Solar;MT;MODULE_PRICING;ACTIVE_TAXONOMY
WIND;SUBTHEME;RENEWABLES;Wind;MT;PROJECT_PIPELINE;ACTIVE_TAXONOMY
BATTERIES;THEME;RENEWABLES;Batteries and Storage;MT_LT;BATTERY_COST;ACTIVE_TAXONOMY
HYDROGEN;THEME;RENEWABLES;Hydrogen;LT;PROJECT_ECONOMICS;ACTIVE_TAXONOMY
FINANCIALS;SECTOR;;Financials;CT_MT;RATES_CREDIT;ACTIVE_TAXONOMY
BANKS;SUBTHEME;FINANCIALS;Banks;CT_MT;NIM_CREDIT;ACTIVE_TAXONOMY
INSURANCE;SUBTHEME;FINANCIALS;Insurance;MT;PRICING_YIELDS;ACTIVE_TAXONOMY
ASSET_MGMT;SUBTHEME;FINANCIALS;Asset Management;CT_MT;AUM_MARKETS;ACTIVE_TAXONOMY
HEALTHCARE;SECTOR;;Healthcare;MT_LT;PIPELINE_DEMAND;ACTIVE_TAXONOMY
PHARMA;SUBTHEME;HEALTHCARE;Pharmaceuticals;MT_LT;PIPELINE_PATENTS;ACTIVE_TAXONOMY
BIOTECH;SUBTHEME;HEALTHCARE;Biotechnology;CT_MT;CLINICAL_CATALYSTS;ACTIVE_TAXONOMY
MEDTECH;SUBTHEME;HEALTHCARE;Medical Technology;MT_LT;PROCEDURE_VOLUMES;ACTIVE_TAXONOMY
GLP1;THEME;HEALTHCARE;Obesity GLP-1;MT_LT;ADOPTION_CAPACITY;ACTIVE_TAXONOMY
CONSUMER;SECTOR;;Consumer;CT_MT;REAL_INCOME;ACTIVE_TAXONOMY
LUXURY;SUBTHEME;CONSUMER;Luxury;CT_MT;CHINA_TOURISM;ACTIVE_TAXONOMY
TRAVEL;SUBTHEME;CONSUMER;Travel and Leisure;CT_MT;TRAVEL_DEMAND;ACTIVE_TAXONOMY
STAPLES;SUBTHEME;CONSUMER;Consumer Staples;MT;VOLUME_PRICING;ACTIVE_TAXONOMY
AUTOMOTIVE;SECTOR;;Automotive;CT_MT;AUTO_DEMAND;ACTIVE_TAXONOMY
EV;THEME;AUTOMOTIVE;Electric Vehicles;MT_LT;EV_ADOPTION;ACTIVE_TAXONOMY
AUTO_PARTS;SUBTHEME;AUTOMOTIVE;Auto Suppliers;CT_MT;PRODUCTION_CYCLE;ACTIVE_TAXONOMY
MATERIALS;SECTOR;;Materials and Mining;CT_MT;COMMODITY_CYCLE;ACTIVE_TAXONOMY
COPPER;THEME;MATERIALS;Copper;MT_LT;COPPER_BALANCE;ACTIVE_TAXONOMY
LITHIUM;THEME;MATERIALS;Lithium;CT_MT;LITHIUM_BALANCE;ACTIVE_TAXONOMY
NICKEL;THEME;MATERIALS;Nickel;CT_MT;NICKEL_BALANCE;ACTIVE_TAXONOMY
RARE_EARTHS;THEME;MATERIALS;Rare Earths;MT_LT;STRATEGIC_SUPPLY;ACTIVE_TAXONOMY
GOLD;THEME;MATERIALS;Gold;CT_MT;GOLD_REGIME;ACTIVE_TAXONOMY
SILVER;THEME;MATERIALS;Silver;CT_MT;PRECIOUS_INDUSTRIAL;ACTIVE_TAXONOMY
CONSTRUCTION;SECTOR;;Construction and Infrastructure;MT;PUBLIC_PRIVATE_CAPEX;ACTIVE_TAXONOMY
INFRA;THEME;CONSTRUCTION;Infrastructure;MT_LT;PUBLIC_CAPEX;ACTIVE_TAXONOMY
REAL_ESTATE;SECTOR;;Real Estate;CT_MT;RATES_REFINANCING;ACTIVE_TAXONOMY
LOGISTICS_RE;SUBTHEME;REAL_ESTATE;Logistics Real Estate;MT;OCCUPANCY_RENTS;ACTIVE_TAXONOMY
DIGITAL_INFRA_RE;SUBTHEME;REAL_ESTATE;Digital Infrastructure Real Estate;MT_LT;DATA_DEMAND_RATES;ACTIVE_TAXONOMY
TELECOM;SECTOR;;Telecommunications;MT;ARPU_CAPEX;ACTIVE_TAXONOMY
FIBER;THEME;TELECOM;Fiber Infrastructure;MT_LT;FIBER_CAPEX;ACTIVE_TAXONOMY

