criterion_id,name,description,family,horizon,direction,weight_default,source,frequency,pit_required,status,missing_policy,decision_role,provenance,source_row_id
V15_C001,ISIN validé,ISIN validé,01 Identité & PEA,MULTI,GOVERNED_RULE,0.5929,Référentiel/Euronext/émetteur,Mensuel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C001
V15_C002,Ticker/place validés,Ticker/place validés,01 Identité & PEA,MULTI,GOVERNED_RULE,0.5929,Référentiel/Euronext/émetteur,Mensuel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C002
V15_C003,Éligibilité PEA,Éligibilité PEA,01 Identité & PEA,MULTI,GOVERNED_RULE,0.5929,Référentiel/Euronext/émetteur,Mensuel,True,ACTIVE,BLOCK,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C003
V15_C004,Confiance PEA,Confiance PEA,01 Identité & PEA,MULTI,GOVERNED_RULE,0.5929,Référentiel/Euronext/émetteur,Mensuel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C004
V15_C005,Devise de cotation,Devise de cotation,01 Identité & PEA,MULTI,GOVERNED_RULE,0.5929,Référentiel/Euronext/émetteur,Mensuel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C005
V15_C006,Pays de domicile,Pays de domicile,01 Identité & PEA,MULTI,GOVERNED_RULE,0.5929,Référentiel/Euronext/émetteur,Mensuel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C006
V15_C007,Fraîcheur des données,Fraîcheur des données,01 Identité & PEA,MULTI,GOVERNED_RULE,0.5929,Référentiel/Euronext/émetteur,Mensuel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C007
V15_C008,Qualité de preuve,Qualité de preuve,01 Identité & PEA,MULTI,GOVERNED_RULE,0.5929,Référentiel/Euronext/émetteur,Mensuel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C008
V15_C009,Conflits de sources,Conflits de sources,01 Identité & PEA,MULTI,GOVERNED_RULE,0.5929,Référentiel/Euronext/émetteur,Mensuel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C009
V15_C010,Gouvernance,Gouvernance,01 Identité & PEA,MULTI,GOVERNED_RULE,0,AMF/émetteur,Trimestriel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C010
V15_C011,Free float,Free float,01 Identité & PEA,MULTI,GOVERNED_RULE,0,AMF/émetteur,Trimestriel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C011
V15_C012,Risque de dilution,Risque de dilution,01 Identité & PEA,MULTI,GOVERNED_RULE,0,AMF/émetteur,Trimestriel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C012
V15_C013,Dernier cours,Dernier cours,02 Liquidité & Exécution,MULTI,GOVERNED_RULE,0.6423,Marketstack/Yahoo/courtier,Quotidien,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C013
V15_C014,Volume du jour,Volume du jour,02 Liquidité & Exécution,MULTI,GOVERNED_RULE,0.6423,Marketstack/Yahoo/courtier,Quotidien,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C014
V15_C015,Volume moyen 20 jours,Volume moyen 20 jours,02 Liquidité & Exécution,MULTI,GOVERNED_RULE,0.6423,Marketstack/Yahoo/courtier,Quotidien,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C015
V15_C016,Volume moyen 60 jours,Volume moyen 60 jours,02 Liquidité & Exécution,MULTI,GOVERNED_RULE,0.6423,Marketstack/Yahoo/courtier,Quotidien,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C016
V15_C017,RVOL20,RVOL20,02 Liquidité & Exécution,MULTI,GOVERNED_RULE,0.6423,Marketstack/Yahoo/courtier,Quotidien,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C017
V15_C018,Bid,Bid,02 Liquidité & Exécution,MULTI,GOVERNED_RULE,0.6423,Marketstack/Yahoo/courtier,Quotidien,True,ACTIVE,BLOCK_EXECUTION,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C018
V15_C019,Ask,Ask,02 Liquidité & Exécution,MULTI,GOVERNED_RULE,0.6423,Marketstack/Yahoo/courtier,Quotidien,True,ACTIVE,BLOCK_EXECUTION,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C019
V15_C020,Spread T0,Spread T0,02 Liquidité & Exécution,MULTI,GOVERNED_RULE,0.6423,Marketstack/Yahoo/courtier,Quotidien,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C020
V15_C021,Spread moyen EOD,Spread moyen EOD,02 Liquidité & Exécution,MULTI,GOVERNED_RULE,0.6423,Marketstack/Yahoo/courtier,Quotidien,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C021
V15_C022,Profondeur du carnet,Profondeur du carnet,02 Liquidité & Exécution,MULTI,GOVERNED_RULE,0.6423,Marketstack/Yahoo/courtier,Quotidien,True,ACTIVE,BLOCK_EXECUTION,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C022
V15_C023,Impact size,Impact size,02 Liquidité & Exécution,MULTI,GOVERNED_RULE,0.6423,Marketstack/Yahoo/courtier,Quotidien,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C023
V15_C024,Frais courtier,Frais courtier,02 Liquidité & Exécution,MULTI,GOVERNED_RULE,0.6423,Marketstack/Yahoo/courtier,Quotidien,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C024
V15_C025,Slippage estimé,Slippage estimé,02 Liquidité & Exécution,MULTI,GOVERNED_RULE,0.6423,Marketstack/Yahoo/courtier,Quotidien,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C025
V15_C026,Coût total d’entrée,Coût total d’entrée,02 Liquidité & Exécution,MULTI,GOVERNED_RULE,0.6423,Marketstack/Yahoo/courtier,Quotidien,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C026
V15_C027,Cost Gate,Cost Gate,02 Liquidité & Exécution,MULTI,GOVERNED_RULE,0.6423,Marketstack/Yahoo/courtier,Quotidien,True,ACTIVE,BLOCK_EXECUTION,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C027
V15_C028,Émetteur,Émetteur,03 Structure ETF,MULTI,GOVERNED_RULE,0.7905,Émetteur/KID/Marketstack,Mensuel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C028
