Critère/colonne,Libellé clair,Rôle actuel,Famille,Sens,Poids interne/règle,Poids effectif CT %,Poids effectif MT %,Poids effectif LT %,historical_status,source_bucket,research_phase,availability_note
isin,ISIN,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,E_META_OUTPUT_NOT_PREDICTOR,Métadonnée / score / sortie / qualité,DESCRIPTIVE_OR_EXCLUDE,Ne doit pas être utilisé comme prédicteur brut sans démonstration d’antériorité.
canonical_universe,canonical universe,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,E_META_OUTPUT_NOT_PREDICTOR,Métadonnée / score / sortie / qualité,DESCRIPTIVE_OR_EXCLUDE,Ne doit pas être utilisé comme prédicteur brut sans démonstration d’antériorité.
canonical_execution_guard,canonical execution guard,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,E_META_OUTPUT_NOT_PREDICTOR,Métadonnée / score / sortie / qualité,DESCRIPTIVE_OR_EXCLUDE,Ne doit pas être utilisé comme prédicteur brut sans démonstration d’antériorité.
canonical_reference_rule,canonical reference rule,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,E_META_OUTPUT_NOT_PREDICTOR,Métadonnée / score / sortie / qualité,DESCRIPTIVE_OR_EXCLUDE,Ne doit pas être utilisé comme prédicteur brut sans démonstration d’antériorité.
name,Nom,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,E_META_OUTPUT_NOT_PREDICTOR,Métadonnée / score / sortie / qualité,DESCRIPTIVE_OR_EXCLUDE,Ne doit pas être utilisé comme prédicteur brut sans démonstration d’antériorité.
yahoo_ticker,Ticker Yahoo,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,E_META_OUTPUT_NOT_PREDICTOR,Métadonnée / score / sortie / qualité,DESCRIPTIVE_OR_EXCLUDE,Ne doit pas être utilisé comme prédicteur brut sans démonstration d’antériorité.
euronext_symbol,Symbole Euronext,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,B_EXTERNAL_HIST_RECONSTRUCTIBLE,Euronext/indices/macro/benchmark/market data,ENRICH_THEN_SCREEN,Reconstructible mais nécessite une série historique externe PIT.
euronext_mic,MIC Euronext,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,B_EXTERNAL_HIST_RECONSTRUCTIBLE,Euronext/indices/macro/benchmark/market data,ENRICH_THEN_SCREEN,Reconstructible mais nécessite une série historique externe PIT.
country,Pays,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,B_EXTERNAL_HIST_RECONSTRUCTIBLE,Euronext/indices/macro/benchmark/market data,ENRICH_THEN_SCREEN,Reconstructible mais nécessite une série historique externe PIT.
pea_type,Type PEA,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,E_META_OUTPUT_NOT_PREDICTOR,Métadonnée / score / sortie / qualité,DESCRIPTIVE_OR_EXCLUDE,Ne doit pas être utilisé comme prédicteur brut sans démonstration d’antériorité.
